run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha1.0_c5_lam1.0_seed42,ditto,1,1.0,5,42,1.0,0.5076871662178031,0.3011253212194878,0.7416631140152743,3.9056968688964844
ditto_alpha1.0_c5_lam1.0_seed42,ditto,2,1.0,5,42,1.0,0.6088600279530633,0.4185463880232635,0.9197239246238217,5.24803900718689
ditto_alpha1.0_c5_lam1.0_seed42,ditto,3,1.0,5,42,1.0,0.8146444103268783,0.7686856985263162,0.9858300861931927,4.74266505241394
ditto_alpha1.0_c5_lam1.0_seed42,ditto,4,1.0,5,42,1.0,0.929079131046515,0.9030748133648838,0.9954751324664224,4.773005962371826
ditto_alpha1.0_c5_lam1.0_seed42,ditto,5,1.0,5,42,1.0,0.9289611526690338,0.8979143065521644,0.9949751315149928,4.354769229888916
ditto_alpha1.0_c5_lam1.0_seed42,ditto,6,1.0,5,42,1.0,0.9262229470323711,0.900540029850052,0.9970671986017836,4.341787099838257
ditto_alpha1.0_c5_lam1.0_seed42,ditto,7,1.0,5,42,1.0,0.8925656393915778,0.8628384476119539,0.9941812660929094,4.338600158691406
ditto_alpha1.0_c5_lam1.0_seed42,ditto,8,1.0,5,42,1.0,0.9156601522884755,0.8869354439506413,0.9964002587806136,4.467726230621338
ditto_alpha1.0_c5_lam1.0_seed42,ditto,9,1.0,5,42,1.0,0.9521013411724171,0.925916448050954,0.9956144403498494,4.899975061416626
ditto_alpha1.0_c5_lam1.0_seed42,ditto,10,1.0,5,42,1.0,0.9519872469245712,0.9242171980222512,0.9971324851574515,5.1583781242370605
ditto_alpha1.0_c5_lam1.0_seed42,ditto,11,1.0,5,42,1.0,0.9247010700507604,0.8941687366402471,0.9953713738028659,5.417379856109619
ditto_alpha1.0_c5_lam1.0_seed42,ditto,12,1.0,5,42,1.0,0.9694186297975594,0.9605569701212049,0.9986090179713676,4.8834779262542725
ditto_alpha1.0_c5_lam1.0_seed42,ditto,13,1.0,5,42,1.0,0.9517481710541918,0.9279369785945206,0.9976698503831762,5.210482120513916
ditto_alpha1.0_c5_lam1.0_seed42,ditto,14,1.0,5,42,1.0,0.9589110256103188,0.9276635063996641,0.9967819038296508,5.157577276229858
ditto_alpha1.0_c5_lam1.0_seed42,ditto,15,1.0,5,42,1.0,0.9404470318345405,0.9235004104433371,0.9961027478446413,4.91934609413147
ditto_alpha1.0_c5_lam1.0_seed42,ditto,16,1.0,5,42,1.0,0.9490955893247793,0.9182385157231117,0.9973949318080961,4.780454158782959
ditto_alpha1.0_c5_lam1.0_seed42,ditto,17,1.0,5,42,1.0,0.9536072177511934,0.9278408415981125,0.9975809756732372,4.926227807998657
ditto_alpha1.0_c5_lam1.0_seed42,ditto,18,1.0,5,42,1.0,0.9083456127185743,0.8801593493778626,0.996773019906537,4.612673997879028
ditto_alpha1.0_c5_lam1.0_seed42,ditto,19,1.0,5,42,1.0,0.9517261861662613,0.9387269120198687,0.9978738474960431,4.403569936752319
ditto_alpha1.0_c5_lam1.0_seed42,ditto,20,1.0,5,42,1.0,0.9395913641191523,0.9120970531877874,0.9983387453073084,4.7017600536346436
