run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha1.0_c5_lam0.1_seed42,ditto,1,1.0,5,42,0.1,0.459530235774858,0.18946570723962028,0.738413098542685,3.630186080932617
ditto_alpha1.0_c5_lam0.1_seed42,ditto,2,1.0,5,42,0.1,0.6417517088157425,0.5268652409435729,0.9159560190117728,4.64032506942749
ditto_alpha1.0_c5_lam0.1_seed42,ditto,3,1.0,5,42,0.1,0.7834892008311427,0.7866891957877169,0.9841038060217269,3.799046039581299
ditto_alpha1.0_c5_lam0.1_seed42,ditto,4,1.0,5,42,0.1,0.9120478564463869,0.9059551265886363,0.9949905533957087,4.577338933944702
ditto_alpha1.0_c5_lam0.1_seed42,ditto,5,1.0,5,42,0.1,0.9295871087275684,0.9169181339674426,0.9959501143063813,4.097054958343506
ditto_alpha1.0_c5_lam0.1_seed42,ditto,6,1.0,5,42,0.1,0.9599216516251784,0.9431256766793996,0.9974131530997401,4.1024250984191895
ditto_alpha1.0_c5_lam0.1_seed42,ditto,7,1.0,5,42,0.1,0.9462187760224046,0.9313510148093703,0.9989150842353103,4.280248641967773
ditto_alpha1.0_c5_lam0.1_seed42,ditto,8,1.0,5,42,0.1,0.9254787111230689,0.9034246024967881,0.996194475512014,4.6261701583862305
ditto_alpha1.0_c5_lam0.1_seed42,ditto,9,1.0,5,42,0.1,0.9607559895904846,0.9421572174204058,0.9975890961035525,4.848313093185425
ditto_alpha1.0_c5_lam0.1_seed42,ditto,10,1.0,5,42,0.1,0.9655752666989181,0.9444053771576264,0.9975914724508546,4.7020368576049805
ditto_alpha1.0_c5_lam0.1_seed42,ditto,11,1.0,5,42,0.1,0.9470671967045468,0.9303498996188392,0.9974671451029693,4.60783314704895
ditto_alpha1.0_c5_lam0.1_seed42,ditto,12,1.0,5,42,0.1,0.9542159685438378,0.9316689044175825,0.9973774800519761,5.672810077667236
ditto_alpha1.0_c5_lam0.1_seed42,ditto,13,1.0,5,42,0.1,0.9409582828012916,0.9229881959857176,0.9983621624557346,8.81489109992981
ditto_alpha1.0_c5_lam0.1_seed42,ditto,14,1.0,5,42,0.1,0.9487865850430606,0.9264579224849246,0.9977504301835888,6.624570846557617
ditto_alpha1.0_c5_lam0.1_seed42,ditto,15,1.0,5,42,0.1,0.9642296777668611,0.9521507691914103,0.998195800608649,4.789762020111084
ditto_alpha1.0_c5_lam0.1_seed42,ditto,16,1.0,5,42,0.1,0.9275045920381849,0.8898871298289874,0.9960783533726623,5.159111022949219
ditto_alpha1.0_c5_lam0.1_seed42,ditto,17,1.0,5,42,0.1,0.9298254841360972,0.8887260824599231,0.994504367910773,6.071905136108398
ditto_alpha1.0_c5_lam0.1_seed42,ditto,18,1.0,5,42,0.1,0.9788621843626407,0.9661217661878755,0.9989214266942394,4.997058153152466
ditto_alpha1.0_c5_lam0.1_seed42,ditto,19,1.0,5,42,0.1,0.9641440538596104,0.9451393179468216,0.9981209977493704,4.750441074371338
ditto_alpha1.0_c5_lam0.1_seed42,ditto,20,1.0,5,42,0.1,0.9762283142354613,0.9718471038669829,0.9985549520449546,5.371327877044678
