run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha10.0_c5_lam2.0_seed42,ditto,1,10.0,5,42,2.0,0.38385790024311883,0.1401305156074497,0.7520450632834,3.4827780723571777
ditto_alpha10.0_c5_lam2.0_seed42,ditto,2,10.0,5,42,2.0,0.5943952411269094,0.5359038460424933,0.929442911505936,4.278510093688965
ditto_alpha10.0_c5_lam2.0_seed42,ditto,3,10.0,5,42,2.0,0.7126461970341744,0.697922488888587,0.9674906618730799,3.233458995819092
ditto_alpha10.0_c5_lam2.0_seed42,ditto,4,10.0,5,42,2.0,0.8522772745380557,0.8441069039671701,0.9900708748413095,3.281564950942993
ditto_alpha10.0_c5_lam2.0_seed42,ditto,5,10.0,5,42,2.0,0.9189069447081644,0.917123892056386,0.9937102795341171,3.515866994857788
ditto_alpha10.0_c5_lam2.0_seed42,ditto,6,10.0,5,42,2.0,0.9355902648244743,0.9346662745888489,0.9937177211948335,3.645404100418091
ditto_alpha10.0_c5_lam2.0_seed42,ditto,7,10.0,5,42,2.0,0.9316053322312942,0.9329107140852472,0.9946083376728506,3.5397911071777344
ditto_alpha10.0_c5_lam2.0_seed42,ditto,8,10.0,5,42,2.0,0.9473009907182987,0.9480682026428425,0.9958663725281879,3.7522051334381104
ditto_alpha10.0_c5_lam2.0_seed42,ditto,9,10.0,5,42,2.0,0.9292155193917935,0.9268866390578012,0.9943402797141582,3.9738590717315674
ditto_alpha10.0_c5_lam2.0_seed42,ditto,10,10.0,5,42,2.0,0.9299944414039085,0.9288446389541637,0.9943726561214581,3.2295010089874268
ditto_alpha10.0_c5_lam2.0_seed42,ditto,11,10.0,5,42,2.0,0.9376521204945774,0.9372264939064255,0.993218429047246,3.2745180130004883
ditto_alpha10.0_c5_lam2.0_seed42,ditto,12,10.0,5,42,2.0,0.9345989917831068,0.9327697325139785,0.9947114533121135,3.4034881591796875
ditto_alpha10.0_c5_lam2.0_seed42,ditto,13,10.0,5,42,2.0,0.9165914078177764,0.91827887318535,0.9940940851099761,3.561448097229004
ditto_alpha10.0_c5_lam2.0_seed42,ditto,14,10.0,5,42,2.0,0.9355398651491291,0.9344458185928184,0.9955545010138828,3.714787244796753
ditto_alpha10.0_c5_lam2.0_seed42,ditto,15,10.0,5,42,2.0,0.9025632983733753,0.8965681554537394,0.993750649756767,3.9300620555877686
ditto_alpha10.0_c5_lam2.0_seed42,ditto,16,10.0,5,42,2.0,0.9268918773013443,0.9258610597988381,0.9937563156722831,3.3097870349884033
ditto_alpha10.0_c5_lam2.0_seed42,ditto,17,10.0,5,42,2.0,0.9349537329714476,0.9328304592607518,0.9961106198953515,3.3795368671417236
ditto_alpha10.0_c5_lam2.0_seed42,ditto,18,10.0,5,42,2.0,0.9380095088107285,0.934405807090639,0.9945779415783326,3.6809399127960205
ditto_alpha10.0_c5_lam2.0_seed42,ditto,19,10.0,5,42,2.0,0.918198947850465,0.9212363358511471,0.9930093941285417,3.639855146408081
ditto_alpha10.0_c5_lam2.0_seed42,ditto,20,10.0,5,42,2.0,0.9161898783661526,0.9139416843568078,0.993336662438008,3.713850736618042
ditto_alpha10.0_c5_lam2.0_seed42,ditto,21,10.0,5,42,2.0,0.9350686354447063,0.9345630957504321,0.9941305535874939,3.5180139541625977
ditto_alpha10.0_c5_lam2.0_seed42,ditto,22,10.0,5,42,2.0,0.9164447844880543,0.9130214892522608,0.9939019305592145,3.4774768352508545
ditto_alpha10.0_c5_lam2.0_seed42,ditto,23,10.0,5,42,2.0,0.9196240110501763,0.9198198230088197,0.992821594333526,3.899785041809082
ditto_alpha10.0_c5_lam2.0_seed42,ditto,24,10.0,5,42,2.0,0.9055189785288522,0.8992292095355492,0.9921775780077269,3.7241740226745605
ditto_alpha10.0_c5_lam2.0_seed42,ditto,25,10.0,5,42,2.0,0.917508144292666,0.914440388878971,0.9925477753852597,4.352443218231201
ditto_alpha10.0_c5_lam2.0_seed42,ditto,26,10.0,5,42,2.0,0.9329147892908601,0.931882998335165,0.9950890465572456,3.9886159896850586
ditto_alpha10.0_c5_lam2.0_seed42,ditto,27,10.0,5,42,2.0,0.9362215992226156,0.9343896918518768,0.9951711559265872,3.8984451293945312
ditto_alpha10.0_c5_lam2.0_seed42,ditto,28,10.0,5,42,2.0,0.9100245762175486,0.9023330581334795,0.9938878021220605,4.670573949813843
ditto_alpha10.0_c5_lam2.0_seed42,ditto,29,10.0,5,42,2.0,0.9318590134515791,0.9278713594952388,0.9943503468667059,3.713146924972534
ditto_alpha10.0_c5_lam2.0_seed42,ditto,30,10.0,5,42,2.0,0.8988523118621853,0.8906172408887368,0.9942216356966747,3.9358718395233154
