run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha1.0_c10_lam2.0_seed42,ditto,1,1.0,10,42,2.0,0.4019037964528841,0.22868579621730972,0.42521141959108216,9.131692171096802
ditto_alpha1.0_c10_lam2.0_seed42,ditto,2,1.0,10,42,2.0,0.48025780525249767,0.3216997863418448,0.44309714643573306,13.291664123535156
ditto_alpha1.0_c10_lam2.0_seed42,ditto,3,1.0,10,42,2.0,0.5067624451274282,0.33101167559778577,0.49232951262992025,11.427304983139038
ditto_alpha1.0_c10_lam2.0_seed42,ditto,4,1.0,10,42,2.0,0.6138099365285934,0.49837390747220295,0.5487778730319349,12.870371103286743
ditto_alpha1.0_c10_lam2.0_seed42,ditto,5,1.0,10,42,2.0,0.6887182965096308,0.6115407009998085,0.581016839820576,11.514426946640015
ditto_alpha1.0_c10_lam2.0_seed42,ditto,6,1.0,10,42,2.0,0.8331217266319259,0.7535381541763371,0.5877705318765127,13.62773084640503
ditto_alpha1.0_c10_lam2.0_seed42,ditto,7,1.0,10,42,2.0,0.796067562567077,0.726084807167812,0.5893623509973096,13.986056327819824
ditto_alpha1.0_c10_lam2.0_seed42,ditto,8,1.0,10,42,2.0,0.8780353148938453,0.8001358255048272,0.590087966181233,13.35050892829895
ditto_alpha1.0_c10_lam2.0_seed42,ditto,9,1.0,10,42,2.0,0.9037234106275249,0.8534152636762933,0.5943295030257485,14.694664001464844
ditto_alpha1.0_c10_lam2.0_seed42,ditto,10,1.0,10,42,2.0,0.896213622836741,0.8218573979641729,0.5938392474439205,16.80210304260254
ditto_alpha1.0_c10_lam2.0_seed42,ditto,11,1.0,10,42,2.0,0.8860752585454591,0.8105364509186164,0.5931909042206638,16.19246006011963
ditto_alpha1.0_c10_lam2.0_seed42,ditto,12,1.0,10,42,2.0,0.9018499361678436,0.832506755322675,0.5948216431987339,15.231834173202515
ditto_alpha1.0_c10_lam2.0_seed42,ditto,13,1.0,10,42,2.0,0.9054417729025376,0.8310088703474999,0.5957651386794802,13.68785572052002
ditto_alpha1.0_c10_lam2.0_seed42,ditto,14,1.0,10,42,2.0,0.909171686489594,0.8375400144448854,0.5959423373428325,13.804287910461426
ditto_alpha1.0_c10_lam2.0_seed42,ditto,15,1.0,10,42,2.0,0.9045032848312524,0.8332565587026218,0.5960227248359937,14.650423049926758
ditto_alpha1.0_c10_lam2.0_seed42,ditto,16,1.0,10,42,2.0,0.906563388094957,0.8287579089079247,0.5948521749825233,13.89347791671753
ditto_alpha1.0_c10_lam2.0_seed42,ditto,17,1.0,10,42,2.0,0.9103826996952649,0.8534740879377505,0.595777935051215,14.359981060028076
ditto_alpha1.0_c10_lam2.0_seed42,ditto,18,1.0,10,42,2.0,0.8783387111824635,0.8193200973206615,0.5959054060040062,14.567302942276001
ditto_alpha1.0_c10_lam2.0_seed42,ditto,19,1.0,10,42,2.0,0.869793936788976,0.7858392840154554,0.5960266618237551,14.660143852233887
ditto_alpha1.0_c10_lam2.0_seed42,ditto,20,1.0,10,42,2.0,0.8893020582108905,0.8142624591040857,0.5960216857896768,16.83131504058838
ditto_alpha1.0_c10_lam2.0_seed42,ditto,21,1.0,10,42,2.0,0.9124178630563838,0.8511210380398058,0.5966100917364836,13.166359901428223
ditto_alpha1.0_c10_lam2.0_seed42,ditto,22,1.0,10,42,2.0,0.9035170191253588,0.8058832065757338,0.5972941950684523,15.124831914901733
ditto_alpha1.0_c10_lam2.0_seed42,ditto,23,1.0,10,42,2.0,0.8968242330653695,0.8199010763354153,0.5959877710647387,14.124514102935791
ditto_alpha1.0_c10_lam2.0_seed42,ditto,24,1.0,10,42,2.0,0.9060989392173391,0.872138910934267,0.5963752453108431,12.782938241958618
ditto_alpha1.0_c10_lam2.0_seed42,ditto,25,1.0,10,42,2.0,0.9046793217923795,0.8317950415877032,0.5942651416626001,17.184921979904175
ditto_alpha1.0_c10_lam2.0_seed42,ditto,26,1.0,10,42,2.0,0.9037905068988465,0.829807458168075,0.5958856403170932,14.144136190414429
ditto_alpha1.0_c10_lam2.0_seed42,ditto,27,1.0,10,42,2.0,0.8819591273733021,0.8125455649333887,0.5968652160491874,14.723628997802734
ditto_alpha1.0_c10_lam2.0_seed42,ditto,28,1.0,10,42,2.0,0.9062070790249865,0.8169173588076406,0.5965903811417976,20.542141914367676
ditto_alpha1.0_c10_lam2.0_seed42,ditto,29,1.0,10,42,2.0,0.9187443936686289,0.8615310059233607,0.5966156687611139,14.091675996780396
ditto_alpha1.0_c10_lam2.0_seed42,ditto,30,1.0,10,42,2.0,0.8958828285471941,0.8164874079490492,0.5966410796015749,17.214781999588013
