run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha1.0_c5_lam0.01_seed42,ditto,1,1.0,5,42,0.01,0.46520120685113153,0.19740655745736516,0.7520865603715305,2.573573112487793
ditto_alpha1.0_c5_lam0.01_seed42,ditto,2,1.0,5,42,0.01,0.660756947060029,0.5465649786813173,0.9529080942673206,4.049602031707764
ditto_alpha1.0_c5_lam0.01_seed42,ditto,3,1.0,5,42,0.01,0.8541668374972372,0.8236117681394161,0.9874366442935008,3.8607630729675293
ditto_alpha1.0_c5_lam0.01_seed42,ditto,4,1.0,5,42,0.01,0.9188686552223505,0.8789633204109799,0.9943373567324707,4.347543001174927
ditto_alpha1.0_c5_lam0.01_seed42,ditto,5,1.0,5,42,0.01,0.9372131642843051,0.9062295262737792,0.9943552512865228,4.240520000457764
ditto_alpha1.0_c5_lam0.01_seed42,ditto,6,1.0,5,42,0.01,0.9504607410575637,0.9306337923547213,0.9973300733286623,4.4821789264678955
ditto_alpha1.0_c5_lam0.01_seed42,ditto,7,1.0,5,42,0.01,0.9032227217943992,0.8725146633066375,0.9966698389591511,4.43520712852478
ditto_alpha1.0_c5_lam0.01_seed42,ditto,8,1.0,5,42,0.01,0.9305489231957058,0.9134894134030225,0.9954667770689343,4.214020252227783
ditto_alpha1.0_c5_lam0.01_seed42,ditto,9,1.0,5,42,0.01,0.9460119004519756,0.9237123179458504,0.9975854745087739,4.737062931060791
ditto_alpha1.0_c5_lam0.01_seed42,ditto,10,1.0,5,42,0.01,0.9387028409659652,0.9211401421177989,0.9969842366540954,4.813800811767578
ditto_alpha1.0_c5_lam0.01_seed42,ditto,11,1.0,5,42,0.01,0.9470217648862544,0.9318559142622025,0.9972778605336418,4.84308123588562
ditto_alpha1.0_c5_lam0.01_seed42,ditto,12,1.0,5,42,0.01,0.9613834519853617,0.9547455989235619,0.997994786360332,4.303738832473755
ditto_alpha1.0_c5_lam0.01_seed42,ditto,13,1.0,5,42,0.01,0.9219422351258665,0.9082818733168947,0.9975320003280952,4.58322811126709
ditto_alpha1.0_c5_lam0.01_seed42,ditto,14,1.0,5,42,0.01,0.9445947703295039,0.93295439436897,0.9985519483868408,4.352121114730835
ditto_alpha1.0_c5_lam0.01_seed42,ditto,15,1.0,5,42,0.01,0.9538054906886775,0.9294923702961331,0.9982154871564368,5.072892189025879
ditto_alpha1.0_c5_lam0.01_seed42,ditto,16,1.0,5,42,0.01,0.9716040367788139,0.9650723763362234,0.9984687571942539,4.957901954650879
ditto_alpha1.0_c5_lam0.01_seed42,ditto,17,1.0,5,42,0.01,0.9657261901321115,0.9567372312785206,0.9988279137625155,4.609039068222046
ditto_alpha1.0_c5_lam0.01_seed42,ditto,18,1.0,5,42,0.01,0.9417862249318457,0.9245777841332747,0.9980211191326258,4.473668098449707
ditto_alpha1.0_c5_lam0.01_seed42,ditto,19,1.0,5,42,0.01,0.9487879406427598,0.9293519327049932,0.9983985753366935,4.409754037857056
ditto_alpha1.0_c5_lam0.01_seed42,ditto,20,1.0,5,42,0.01,0.963712946716219,0.9487598168651681,0.9978022670498443,4.800059795379639
