run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time,dropout
ditto_alpha0.3_c10_lam2.0_seed42,ditto,1,0.3,10,42,2.0,0.3137058513804281,0.1128071025947264,0.05330812107173925,2.6913113594055176,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,2,0.3,10,42,2.0,0.35623467368635553,0.14771572443456082,0.08270266982910661,2.474656581878662,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,3,0.3,10,42,2.0,0.41457334542983304,0.21600207256129864,0.09254283572499464,2.361119031906128,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,4,0.3,10,42,2.0,0.5492228298773114,0.4003288254544112,0.09535071749839366,2.610603094100952,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,5,0.3,10,42,2.0,0.6734955134632485,0.539798614435524,0.09826086956521737,2.3342933654785156,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,6,0.3,10,42,2.0,0.7006451114217443,0.5767410546538272,0.09801242236024844,2.4254798889160156,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,7,0.3,10,42,2.0,0.695891696277933,0.5553830091545395,0.09875776397515527,2.3861594200134277,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,8,0.3,10,42,2.0,0.7298346900372873,0.6285290227386067,0.09913043478260869,2.3925187587738037,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,9,0.3,10,42,2.0,0.7421199169173989,0.5483763699332765,0.09888198757763975,2.192413330078125,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,10,0.3,10,42,2.0,0.6969283181148284,0.619808963013396,0.09856500321267937,2.6282601356506348,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,11,0.3,10,42,2.0,0.7878200157616402,0.6067883319192953,0.09913043478260869,2.6389918327331543,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,12,0.3,10,42,2.0,0.7462768224866759,0.6319250212115655,0.09913043478260869,2.4224367141723633,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,13,0.3,10,42,2.0,0.7629247382891903,0.5420042841688989,0.09565485114585563,2.2032580375671387,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,14,0.3,10,42,2.0,0.7207842302184495,0.5870222770802297,0.09962732919254659,2.5542900562286377,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,15,0.3,10,42,2.0,0.8085561644969562,0.6210612639279333,0.09856500321267937,2.620314836502075,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,16,0.3,10,42,2.0,0.7038792928853475,0.581742321082924,0.0984407796101949,2.223681926727295,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,17,0.3,10,42,2.0,0.8166691965774536,0.6624197677740653,0.09950310559006212,2.216965675354004,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,18,0.3,10,42,2.0,0.7590902643652775,0.6326930352739459,0.09962732919254659,2.5395445823669434,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,19,0.3,10,42,2.0,0.7323546818254048,0.6269250076884846,0.09893767402013279,2.6232261657714844,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,20,0.3,10,42,2.0,0.8693783017187563,0.7026536459102232,0.1,2.215693235397339,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,21,0.3,10,42,2.0,0.6649942891896301,0.5343854914741435,0.09588777040051402,2.266620397567749,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,22,0.3,10,42,2.0,0.8292083678571907,0.6644671684638407,0.09925465838509316,2.3027892112731934,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,23,0.3,10,42,2.0,0.7131155640500353,0.5822904493241439,0.09732276718783466,2.1400020122528076,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,24,0.3,10,42,2.0,0.8635857832323385,0.705284611682361,0.09918612122510174,2.654864549636841,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,25,0.3,10,42,2.0,0.7747862061146423,0.6859668682092457,0.09950310559006212,2.3887999057769775,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,26,0.3,10,42,2.0,0.8587405448646827,0.6569504670506242,0.09845630756050547,2.7811155319213867,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,27,0.3,10,42,2.0,0.6371530995125116,0.5125222319101004,0.09918612122510174,2.3494789600372314,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,28,0.3,10,42,2.0,0.8444335415744595,0.6851919405999845,0.09888198757763975,2.703819990158081,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,29,0.3,10,42,2.0,0.6671034495495488,0.539241077855952,0.09975155279503106,2.5485053062438965,0.0
ditto_alpha0.3_c10_lam2.0_seed42,ditto,30,0.3,10,42,2.0,0.8820878677539548,0.6715833215096576,0.0993103448275862,2.3397815227508545,0.0
