run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time,dropout
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,1,0.5,5,42,0.0005,0.3813269897004545,0.14908211921080922,0.4106496838921362,2.048715114593506,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,2,0.5,5,42,0.0005,0.6068082681598195,0.47899764483026563,0.5447505525943708,2.3051741123199463,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,3,0.5,5,42,0.0005,0.7176193373914334,0.5391245621547053,0.5615665474442876,1.8326809406280518,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,4,0.5,5,42,0.0005,0.8018662014642828,0.6216643124709943,0.583256055603476,1.9303395748138428,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,5,0.5,5,42,0.0005,0.7992425971939104,0.6238229370644429,0.5881211895944298,1.8103575706481934,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,6,0.5,5,42,0.0005,0.820933450099092,0.6522885460936033,0.5933599719450379,1.8578941822052002,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,7,0.5,5,42,0.0005,0.8218486480018609,0.6482378973905772,0.5865413832336079,1.8369042873382568,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,8,0.5,5,42,0.0005,0.8775652805260734,0.7322605703232206,0.5929537353427605,1.972170352935791,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,9,0.5,5,42,0.0005,0.8246946832238887,0.6780765833479714,0.5908344572255169,2.2772223949432373,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,10,0.5,5,42,0.0005,0.7988151650395123,0.6607969065990457,0.5864803220968572,2.3275649547576904,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,11,0.5,5,42,0.0005,0.8120694513785868,0.6524868232982896,0.5947440171080847,2.308734893798828,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,12,0.5,5,42,0.0005,0.8349690862208439,0.6752768388415227,0.5935934558847474,1.8093605041503906,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,13,0.5,5,42,0.0005,0.8550113091467483,0.7117371444403338,0.5868101793029673,1.8215608596801758,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,14,0.5,5,42,0.0005,0.8509511129242563,0.6921747045416348,0.5889809368867354,1.8464572429656982,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,15,0.5,5,42,0.0005,0.8528689157881647,0.7050589905234022,0.5900321517113672,1.9763734340667725,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,16,0.5,5,42,0.0005,0.8682194325320706,0.7332384385644428,0.5869824445943462,1.8533518314361572,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,17,0.5,5,42,0.0005,0.863668069924261,0.716197008423849,0.5858132216130366,1.929438829421997,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,18,0.5,5,42,0.0005,0.8260020480029201,0.709877365030138,0.5832634601032334,1.860135555267334,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,19,0.5,5,42,0.0005,0.8325626159845079,0.7018575822729366,0.5900036894054719,1.9489984512329102,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,20,0.5,5,42,0.0005,0.8225641861563693,0.6505890310495503,0.5933994451109326,2.2933757305145264,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,21,0.5,5,42,0.0005,0.8544418934718806,0.7263163911952475,0.5929005448889373,1.9168694019317627,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,22,0.5,5,42,0.0005,0.8732811727486456,0.7249107984961084,0.5930344723460328,1.796334981918335,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,23,0.5,5,42,0.0005,0.8561645140268603,0.7427965268925778,0.583440659737958,2.2963333129882812,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,24,0.5,5,42,0.0005,0.8820063856954722,0.728985483077577,0.5857157490623847,1.8409521579742432,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,25,0.5,5,42,0.0005,0.8370903879106366,0.6741800699200996,0.5836530498937929,1.9498002529144287,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,26,0.5,5,42,0.0005,0.8333452454597265,0.7074086914716555,0.5880312674338837,2.3557870388031006,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,27,0.5,5,42,0.0005,0.7876348634368633,0.6717546871835545,0.584300139687784,1.9612889289855957,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,28,0.5,5,42,0.0005,0.8309825797027997,0.6345280712985776,0.5874491386779369,1.8440723419189453,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,29,0.5,5,42,0.0005,0.8520501392049149,0.720031918484147,0.5893125505578503,1.9225382804870605,0.0
perfedavg_alpha0.5_c5_ai0.0005_seed42,perfedavg,30,0.5,5,42,0.0005,0.87736979734589,0.7437887022486894,0.5864088843966625,1.9648499488830566,0.0
