run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time,dropout
fedavg_alpha0.5_c10_seed42,fedavg,1,0.5,10,42,0.33348784616330257,0.1687163104417801,0.202690011448859,2.35212779045105,0.0
fedavg_alpha0.5_c10_seed42,fedavg,2,0.5,10,42,0.39820763887903843,0.22578302311178847,0.2507836745948815,2.176002264022827,0.0
fedavg_alpha0.5_c10_seed42,fedavg,3,0.5,10,42,0.4711947687201238,0.3257378735308717,0.27082967441243305,2.239654302597046,0.0
fedavg_alpha0.5_c10_seed42,fedavg,4,0.5,10,42,0.7231897993824972,0.6147000339259828,0.29343591414970727,2.3728463649749756,0.0
fedavg_alpha0.5_c10_seed42,fedavg,5,0.5,10,42,0.8106228551705226,0.6975887154446179,0.29294068932344797,1.9253199100494385,0.0
fedavg_alpha0.5_c10_seed42,fedavg,6,0.5,10,42,0.8580519723684022,0.7285546407133101,0.2961379185948151,2.07680344581604,0.0
fedavg_alpha0.5_c10_seed42,fedavg,7,0.5,10,42,0.8618635157945503,0.6984430121609022,0.2948630475527027,2.273362636566162,0.0
fedavg_alpha0.5_c10_seed42,fedavg,8,0.5,10,42,0.8781618037135278,0.7124192384509902,0.29459462855152513,2.2554993629455566,0.0
fedavg_alpha0.5_c10_seed42,fedavg,9,0.5,10,42,0.8933110446011053,0.7422323372597993,0.2969785270604236,2.124725580215454,0.0
fedavg_alpha0.5_c10_seed42,fedavg,10,0.5,10,42,0.8947975574121619,0.7594521014106437,0.29608350541540196,2.026137590408325,0.0
fedavg_alpha0.5_c10_seed42,fedavg,11,0.5,10,42,0.8789490158252835,0.7373821639353502,0.29675178094574645,2.297175884246826,0.0
fedavg_alpha0.5_c10_seed42,fedavg,12,0.5,10,42,0.8969484058875539,0.7558860986816465,0.29540456494335804,2.2624831199645996,0.0
fedavg_alpha0.5_c10_seed42,fedavg,13,0.5,10,42,0.9035475727788103,0.7893152738081665,0.2945899242838898,2.1085283756256104,0.0
fedavg_alpha0.5_c10_seed42,fedavg,14,0.5,10,42,0.8946309214787915,0.7344613510697287,0.2952335257335257,2.251880407333374,0.0
fedavg_alpha0.5_c10_seed42,fedavg,15,0.5,10,42,0.8777617129320984,0.7284496838773761,0.2937074231643197,1.9479162693023682,0.0
fedavg_alpha0.5_c10_seed42,fedavg,16,0.5,10,42,0.8885346647942999,0.7648438560736732,0.2967619047619048,1.9232890605926514,0.0
fedavg_alpha0.5_c10_seed42,fedavg,17,0.5,10,42,0.9102105561781018,0.7953437498090589,0.2939667197425818,2.1552653312683105,0.0
fedavg_alpha0.5_c10_seed42,fedavg,18,0.5,10,42,0.8842214877752405,0.7404270540966775,0.29595735474614787,2.0318500995635986,0.0
fedavg_alpha0.5_c10_seed42,fedavg,19,0.5,10,42,0.9020590410265866,0.7764981776001049,0.2955925925925926,2.220412015914917,0.0
fedavg_alpha0.5_c10_seed42,fedavg,20,0.5,10,42,0.8863128271322998,0.7756440961545563,0.29694264069264065,1.9638721942901611,0.0
fedavg_alpha0.5_c10_seed42,fedavg,21,0.5,10,42,0.8761433684638554,0.7547809501847895,0.2959768290457946,2.154115915298462,0.0
fedavg_alpha0.5_c10_seed42,fedavg,22,0.5,10,42,0.9304275947176557,0.8153452062195798,0.29674853419249975,2.2602927684783936,0.0
fedavg_alpha0.5_c10_seed42,fedavg,23,0.5,10,42,0.9036988326075547,0.8105939048423606,0.29622910550496756,1.9445931911468506,0.0
fedavg_alpha0.5_c10_seed42,fedavg,24,0.5,10,42,0.9119436682317007,0.8008317190658731,0.2975114983994294,2.257622718811035,0.0
fedavg_alpha0.5_c10_seed42,fedavg,25,0.5,10,42,0.9077663938495582,0.7600562229369274,0.29884750004146554,2.013260841369629,0.0
fedavg_alpha0.5_c10_seed42,fedavg,26,0.5,10,42,0.900431708251181,0.808265053288227,0.29449310013103114,2.1109557151794434,0.0
fedavg_alpha0.5_c10_seed42,fedavg,27,0.5,10,42,0.8631622339796783,0.7458713988008294,0.2963320105820106,2.2776036262512207,0.0
fedavg_alpha0.5_c10_seed42,fedavg,28,0.5,10,42,0.9061178645559987,0.8073091855714388,0.2953443880512846,2.3730719089508057,0.0
fedavg_alpha0.5_c10_seed42,fedavg,29,0.5,10,42,0.8947647295233502,0.7497795627911239,0.29689381085070743,2.289854049682617,0.0
fedavg_alpha0.5_c10_seed42,fedavg,30,0.5,10,42,0.9259381409665386,0.8441530318091252,0.29795860285946496,2.083202838897705,0.0
