run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time,dropout
ditto_alpha0.3_c5_lam2.0_seed42,ditto,1,0.3,5,42,2.0,0.3248536358138699,0.11678311835553323,0.30826719846352507,2.024273157119751,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,2,0.3,5,42,2.0,0.5614482236351056,0.4344224959847778,0.3830197710744881,1.9822371006011963,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,3,0.3,5,42,2.0,0.7625335741409651,0.6667541656545408,0.39569296695617445,2.5688178539276123,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,4,0.3,5,42,2.0,0.7735187878985993,0.6452100222851976,0.3930130897096491,2.3579659461975098,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,5,0.3,5,42,2.0,0.8175225144239413,0.603996352627121,0.3903494268981161,2.346784830093384,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,6,0.3,5,42,2.0,0.7916200033778447,0.7330375168437289,0.3936469957147403,2.374455213546753,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,7,0.3,5,42,2.0,0.7395666824662623,0.6602431346055828,0.3859178208136396,2.3009095191955566,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,8,0.3,5,42,2.0,0.7830437376395405,0.5865329070352745,0.3945235791448754,2.0025429725646973,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,9,0.3,5,42,2.0,0.7420394826449612,0.7235072960260991,0.3911388212570864,1.9728033542633057,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,10,0.3,5,42,2.0,0.8332914916452827,0.7321884264857887,0.39512530028651005,2.0710322856903076,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,11,0.3,5,42,2.0,0.7112069529117566,0.650286863007843,0.3848524823972526,1.9735479354858398,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,12,0.3,5,42,2.0,0.6957027278819281,0.5765002269347252,0.393009744257823,2.2893459796905518,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,13,0.3,5,42,2.0,0.6915037946270479,0.5159318250787697,0.38922972613467277,2.35526967048645,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,14,0.3,5,42,2.0,0.7287522677868035,0.6573129356720753,0.3860720834823499,2.5565528869628906,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,15,0.3,5,42,2.0,0.7459865213103857,0.6447275187834437,0.3898156798269393,1.997586965560913,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,16,0.3,5,42,2.0,0.6486455115527734,0.565837971183401,0.3930755762242444,2.290628433227539,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,17,0.3,5,42,2.0,0.6663945050095614,0.5258140078163427,0.38084055351891094,1.9676542282104492,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,18,0.3,5,42,2.0,0.6990301227465145,0.6781024261104701,0.39393573076530897,2.355462074279785,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,19,0.3,5,42,2.0,0.7747196116568328,0.759101299692838,0.3842007879385793,1.9993927478790283,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,20,0.3,5,42,2.0,0.7204159652190967,0.6599839986713328,0.38517960810173674,1.9674699306488037,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,21,0.3,5,42,2.0,0.7410351731690176,0.5831939146939096,0.38020348228562095,1.9265680313110352,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,22,0.3,5,42,2.0,0.6334333611188293,0.5408750915257279,0.3795253575913954,2.550977945327759,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,23,0.3,5,42,2.0,0.7748835460830622,0.6969249159110714,0.37843188786795884,1.96287202835083,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,24,0.3,5,42,2.0,0.6457296144353825,0.5821386805461666,0.37915427017180625,2.4775898456573486,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,25,0.3,5,42,2.0,0.6892799198034312,0.5822072433753214,0.3798186665782116,1.9566848278045654,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,26,0.3,5,42,2.0,0.6767391813630148,0.6995182152085382,0.3759223436529763,1.9732518196105957,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,27,0.3,5,42,2.0,0.6396511830628333,0.5514182979558643,0.37958848341611934,1.97050142288208,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,28,0.3,5,42,2.0,0.7184747124745983,0.6706951940388506,0.38026037477957564,2.2790281772613525,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,29,0.3,5,42,2.0,0.7532258416008805,0.724691846342639,0.38184501047314584,1.9356908798217773,0.0
ditto_alpha0.3_c5_lam2.0_seed42,ditto,30,0.3,5,42,2.0,0.6530260584367117,0.5332879595724742,0.39358789886892,1.975281000137329,0.0
