run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time,dropout
fedavg_alpha0.3_c5_seed42,fedavg,1,0.3,5,42,0.35745934328163054,0.16767191342904159,0.3231135363400567,1.9859793186187744,0.0
fedavg_alpha0.3_c5_seed42,fedavg,2,0.3,5,42,0.6480177772692851,0.5450118186297949,0.3924772133834842,1.9124820232391357,0.0
fedavg_alpha0.3_c5_seed42,fedavg,3,0.3,5,42,0.6660071697475878,0.507573986570729,0.39267472835364836,2.3706114292144775,0.0
fedavg_alpha0.3_c5_seed42,fedavg,4,0.3,5,42,0.7801856452500422,0.6067442242371129,0.3952306125329433,2.1941275596618652,0.0
fedavg_alpha0.3_c5_seed42,fedavg,5,0.3,5,42,0.8221820331355658,0.6756126821602209,0.3965753360771674,2.1863739490509033,0.0
fedavg_alpha0.3_c5_seed42,fedavg,6,0.3,5,42,0.7568171986771925,0.6451146261549567,0.395917739871014,2.208106279373169,0.0
fedavg_alpha0.3_c5_seed42,fedavg,7,0.3,5,42,0.7128435186244546,0.6592467538111606,0.3928430492562989,2.1526405811309814,0.0
fedavg_alpha0.3_c5_seed42,fedavg,8,0.3,5,42,0.8546840080850344,0.7012043900342135,0.3963351036495876,1.9263434410095215,0.0
fedavg_alpha0.3_c5_seed42,fedavg,9,0.3,5,42,0.8132877869124865,0.6904826973041738,0.3978331722722955,1.8746297359466553,0.0
fedavg_alpha0.3_c5_seed42,fedavg,10,0.3,5,42,0.7773712469149927,0.7404771844877961,0.39765678482942635,1.9360544681549072,0.0
fedavg_alpha0.3_c5_seed42,fedavg,11,0.3,5,42,0.7658090482650411,0.7205449108126514,0.39327375976131573,1.9067180156707764,0.0
fedavg_alpha0.3_c5_seed42,fedavg,12,0.3,5,42,0.7843406937656975,0.6523923811938717,0.38715864883674406,2.156947374343872,0.0
fedavg_alpha0.3_c5_seed42,fedavg,13,0.3,5,42,0.7505583250249253,0.6897841871529087,0.3974481400377072,2.1955628395080566,0.0
fedavg_alpha0.3_c5_seed42,fedavg,14,0.3,5,42,0.8085412887021994,0.6705130068919514,0.3924536442398339,2.3654611110687256,0.0
fedavg_alpha0.3_c5_seed42,fedavg,15,0.3,5,42,0.7608891631117575,0.6882635090036316,0.3892080108304457,1.9492535591125488,0.0
fedavg_alpha0.3_c5_seed42,fedavg,16,0.3,5,42,0.7705525772409547,0.6895410534467907,0.38948022078639594,2.1698760986328125,0.0
fedavg_alpha0.3_c5_seed42,fedavg,17,0.3,5,42,0.777478684166081,0.7194042379386297,0.39708627926313833,1.869471788406372,0.0
fedavg_alpha0.3_c5_seed42,fedavg,18,0.3,5,42,0.7885152738505795,0.6137264847556605,0.3970585808670714,2.1643970012664795,0.0
fedavg_alpha0.3_c5_seed42,fedavg,19,0.3,5,42,0.7424210701229643,0.7365377322466812,0.3968042037914402,1.9095983505249023,0.0
fedavg_alpha0.3_c5_seed42,fedavg,20,0.3,5,42,0.7790135604116613,0.7247380956812532,0.398211520869068,1.9150047302246094,0.0
fedavg_alpha0.3_c5_seed42,fedavg,21,0.3,5,42,0.724779704602041,0.6631294003191271,0.3888928164076275,1.8744218349456787,0.0
fedavg_alpha0.3_c5_seed42,fedavg,22,0.3,5,42,0.8156235392184105,0.6990289485800896,0.39756266891738595,2.4334464073181152,0.0
fedavg_alpha0.3_c5_seed42,fedavg,23,0.3,5,42,0.7235038872453675,0.6849744952122057,0.39514361209385507,1.9106342792510986,0.0
fedavg_alpha0.3_c5_seed42,fedavg,24,0.3,5,42,0.7707769042598979,0.7028566061132279,0.3946531574692928,2.3555314540863037,0.0
fedavg_alpha0.3_c5_seed42,fedavg,25,0.3,5,42,0.7888360873663164,0.7029494081969083,0.3972497867549477,1.8964297771453857,0.0
fedavg_alpha0.3_c5_seed42,fedavg,26,0.3,5,42,0.814963170597497,0.695129011835661,0.39858875048780706,1.9159507751464844,0.0
fedavg_alpha0.3_c5_seed42,fedavg,27,0.3,5,42,0.7441903524399478,0.6859073010211624,0.38642992023023404,1.911757230758667,0.0
fedavg_alpha0.3_c5_seed42,fedavg,28,0.3,5,42,0.858802581327057,0.7203535880134995,0.3977784031071489,2.1268067359924316,0.0
fedavg_alpha0.3_c5_seed42,fedavg,29,0.3,5,42,0.7631126565658218,0.7087941037488896,0.3956498171865541,1.868844747543335,0.0
fedavg_alpha0.3_c5_seed42,fedavg,30,0.3,5,42,0.7427273643550224,0.6945643757694775,0.3976606519061569,1.9078848361968994,0.0
