run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time,dropout
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,1,0.3,5,42,0.001,0.3562310064342491,0.18896272019028498,0.3107624460448756,1.9535212516784668,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,2,0.3,5,42,0.001,0.6502058578363271,0.5582530127493885,0.3944283872394305,1.9049415588378906,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,3,0.3,5,42,0.001,0.6646215179597819,0.5305934062277178,0.3905584400537442,2.3626999855041504,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,4,0.3,5,42,0.001,0.652339293594626,0.49837898224477784,0.3880122738992615,2.1940526962280273,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,5,0.3,5,42,0.001,0.7083191954192068,0.5078464238616848,0.38474122619690193,2.187842845916748,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,6,0.3,5,42,0.001,0.7031727495110299,0.5367572901766232,0.3956490053560531,2.2023704051971436,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,7,0.3,5,42,0.001,0.7664808034911659,0.6653404774768071,0.3958324603152017,2.1478769779205322,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,8,0.3,5,42,0.001,0.7333492963731755,0.538858426167472,0.396995495853265,1.923732042312622,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,9,0.3,5,42,0.001,0.740701801698729,0.627486862042568,0.3877449890346059,1.8782470226287842,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,10,0.3,5,42,0.001,0.8048497948776621,0.7145939172217363,0.39071368825197905,1.9466750621795654,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,11,0.3,5,42,0.001,0.7999563059455513,0.7048696366750109,0.39641785287512254,1.8953375816345215,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,12,0.3,5,42,0.001,0.7146529809478668,0.5042930770109011,0.3876440132914204,2.1418075561523438,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,13,0.3,5,42,0.001,0.7986232559153144,0.6934178856619131,0.39523082406350996,2.204235553741455,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,14,0.3,5,42,0.001,0.8114620074203617,0.630129631478802,0.3920028720221284,2.382516860961914,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,15,0.3,5,42,0.001,0.6510813461255577,0.6029262441115685,0.39342905891124536,1.9169204235076904,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,16,0.3,5,42,0.001,0.8125893902990482,0.7035586943409522,0.3951198930719464,2.176173686981201,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,17,0.3,5,42,0.001,0.7852511046096683,0.7019986154776284,0.39503936133952783,1.8656866550445557,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,18,0.3,5,42,0.001,0.8031812758445973,0.6522749846484668,0.3935637501462906,2.167616128921509,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,19,0.3,5,42,0.001,0.7010383875695319,0.6161082296772096,0.384181662345731,1.8979957103729248,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,20,0.3,5,42,0.001,0.8072335180251595,0.7347043191876707,0.3975628545540865,1.8921318054199219,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,21,0.3,5,42,0.001,0.7542856675874019,0.6813476998003549,0.3808644558406088,1.8767247200012207,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,22,0.3,5,42,0.001,0.7854116339506072,0.7032395026989701,0.3931375462433731,2.404407262802124,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,23,0.3,5,42,0.001,0.8064868509226418,0.7140247948290128,0.38648554072022445,1.8879811763763428,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,24,0.3,5,42,0.001,0.779710894638489,0.7295016706035604,0.39004378984427585,2.348390817642212,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,25,0.3,5,42,0.001,0.7092326299789158,0.6765685257736551,0.3750446540531446,1.885680913925171,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,26,0.3,5,42,0.001,0.8072256727086501,0.6085888123230593,0.38703726142082945,1.9086596965789795,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,27,0.3,5,42,0.001,0.7394881748198029,0.6455793075121508,0.3749393680883634,1.9102184772491455,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,28,0.3,5,42,0.001,0.7659697682907562,0.6357335177442278,0.38021250618498126,2.1500120162963867,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,29,0.3,5,42,0.001,0.6592213795771157,0.6319188615874702,0.3863753733872491,1.870476245880127,0.0
fedprox_alpha0.3_c5_mu0.001_seed42,fedprox,30,0.3,5,42,0.001,0.7776081863698522,0.6277463100142523,0.3916575984699258,1.9162497520446777,0.0
