run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time,dropout
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,1,0.7,10,42,0.001,0.382023268067731,0.22915628704418575,0.6642945608798078,2.1358232498168945,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,2,0.7,10,42,0.001,0.46269220588501747,0.315593235735257,0.7826017271532354,2.4036200046539307,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,3,0.7,10,42,0.001,0.6450133496979766,0.5804833537153613,0.8676427863001497,2.2328622341156006,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,4,0.7,10,42,0.001,0.8462766451128563,0.7609009696595825,0.8897187983031607,2.4640350341796875,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,5,0.7,10,42,0.001,0.8422255919670789,0.7596526629901558,0.8915865103100902,2.303008794784546,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,6,0.7,10,42,0.001,0.8802445089847787,0.8476595531045488,0.8946856815322108,2.005537748336792,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,7,0.7,10,42,0.001,0.8993070759786012,0.8428472338162871,0.8950829705360779,2.456024408340454,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,8,0.7,10,42,0.001,0.9205906804514935,0.8601708944891675,0.8969076540191043,2.1740880012512207,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,9,0.7,10,42,0.001,0.9169294424240448,0.8936777567928722,0.8962124242159799,2.0054924488067627,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,10,0.7,10,42,0.001,0.9239172455408802,0.8983763517584714,0.897331151258746,2.0726356506347656,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,11,0.7,10,42,0.001,0.9389375402217762,0.9108276573405302,0.8969543745737389,2.5113539695739746,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,12,0.7,10,42,0.001,0.8823774364173825,0.8160967819368399,0.8965339432873781,1.9933865070343018,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,13,0.7,10,42,0.001,0.9412535886980902,0.9147365302308789,0.897053182780469,1.937725305557251,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,14,0.7,10,42,0.001,0.8958134022613313,0.8379764328755266,0.8933275417644622,2.30277419090271,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,15,0.7,10,42,0.001,0.9272663630044223,0.8991770416202527,0.8969402721248192,1.96885085105896,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,16,0.7,10,42,0.001,0.9443094706218964,0.922452568862384,0.8970662296016509,2.158118724822998,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,17,0.7,10,42,0.001,0.9417799804326377,0.9101139312004205,0.8969956105768185,2.139857530593872,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,18,0.7,10,42,0.001,0.9522661576534466,0.9349501677390016,0.8981595169999167,2.0102336406707764,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,19,0.7,10,42,0.001,0.9005844178897323,0.8490623423499871,0.8960259805532095,2.530759811401367,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,20,0.7,10,42,0.001,0.939394298075145,0.9147449505004378,0.8980013837997685,2.0345218181610107,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,21,0.7,10,42,0.001,0.9407135975920612,0.9028240787905084,0.898169372874343,2.5749576091766357,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,22,0.7,10,42,0.001,0.9219090750634461,0.8990288940581868,0.8962553685851447,2.3805108070373535,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,23,0.7,10,42,0.001,0.9265934788227129,0.8730420497436192,0.8974055709709068,1.9623079299926758,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,24,0.7,10,42,0.001,0.933857026377608,0.91519027624045,0.8974396827314862,2.471919536590576,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,25,0.7,10,42,0.001,0.9356278063741945,0.918595596504032,0.8970123577840937,2.0961973667144775,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,26,0.7,10,42,0.001,0.9282548781073623,0.9065676730644396,0.8979632753860841,2.802443742752075,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,27,0.7,10,42,0.001,0.9349771533749816,0.916494411701068,0.8987862569024543,2.374772548675537,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,28,0.7,10,42,0.001,0.9374793369810506,0.9202592669965718,0.8978165806591326,2.3110268115997314,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,29,0.7,10,42,0.001,0.8840639535025607,0.7990835870157402,0.8948407653032954,2.486855983734131,0.0
fedprox_alpha0.7_c10_mu0.001_seed42,fedprox,30,0.7,10,42,0.001,0.9360975738646559,0.9073283753800775,0.8978607763675923,2.1231510639190674,0.0
