run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,1,1.0,5,42,1.0,0.4373683222497406,0.13545007172990162,0.6457896730395198,3.144973039627075
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,2,1.0,5,42,1.0,0.5675698575711261,0.4178789845466745,0.859457663462439,3.1923141479492188
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,3,1.0,5,42,1.0,0.7318901105491039,0.6677867729291609,0.9643170638013805,3.1790311336517334
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,4,1.0,5,42,1.0,0.864913349993395,0.8337168415815472,0.9816671328408431,3.3904950618743896
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,5,1.0,5,42,1.0,0.9022518322249311,0.8793927458271987,0.9884860865053099,3.2253029346466064
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,6,1.0,5,42,1.0,0.8771192733820797,0.8554234592331685,0.9908340072725409,3.1915841102600098
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,7,1.0,5,42,1.0,0.8708339172589911,0.815129959562959,0.9883350576784652,3.0875320434570312
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,8,1.0,5,42,1.0,0.91548783798647,0.8884648243215537,0.9917391080654469,3.5904271602630615
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,9,1.0,5,42,1.0,0.9231806551115812,0.9046816706488852,0.9910634795131832,3.3466060161590576
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,10,1.0,5,42,1.0,0.9211414530602101,0.9017651474375189,0.9904239449520089,3.1994669437408447
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,11,1.0,5,42,1.0,0.919006957981139,0.8888147176970127,0.991679494397258,3.219468116760254
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,12,1.0,5,42,1.0,0.927572098362321,0.9109546634139545,0.9925094503994376,3.3077471256256104
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,13,1.0,5,42,1.0,0.9323913754707547,0.917305523562959,0.9932548768006499,3.2184979915618896
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,14,1.0,5,42,1.0,0.9252599596339973,0.9085720258457236,0.9926885696862147,3.21584415435791
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,15,1.0,5,42,1.0,0.9087391744200397,0.8802289478167851,0.9934072009562748,3.3096301555633545
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,16,1.0,5,42,1.0,0.9142592220631199,0.8880558018450369,0.9918248319936509,3.0736420154571533
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,17,1.0,5,42,1.0,0.9281508556532083,0.9078286054967988,0.9940180646737111,3.1476049423217773
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,18,1.0,5,42,1.0,0.9309623694296404,0.9167943406386907,0.9936509126812025,3.1477859020233154
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,19,1.0,5,42,1.0,0.9277670980141073,0.9110551120467614,0.9940558831763685,3.0273821353912354
fedprox_alpha1.0_c5_mu1.0_seed42,fedprox,20,1.0,5,42,1.0,0.931332805932486,0.9203222982847808,0.9951224253425865,3.1958351135253906
