run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,1,1.0,5,42,0.001,0.5164489835822129,0.34171721533902616,0.8266170656632388,2.3511221408843994
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,2,1.0,5,42,0.001,0.8110555445903327,0.7860763702218516,0.9847083247320836,2.4745359420776367
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,3,1.0,5,42,0.001,0.9483741895019019,0.9352136407013744,0.9960921456040758,2.44767689704895
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,4,1.0,5,42,0.001,0.9527295651478751,0.9403058920830116,0.9981383958680455,3.204986095428467
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,5,1.0,5,42,0.001,0.9479904318628009,0.9366226250848946,0.9975087978511981,2.7043449878692627
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,6,1.0,5,42,0.001,0.9334163891093737,0.8980182720438614,0.99605573332626,2.592689037322998
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,7,1.0,5,42,0.001,0.9668822594962734,0.963167244162246,0.9979288116740804,3.0419821739196777
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,8,1.0,5,42,0.001,0.938167838161929,0.9207039821820405,0.9957758958196827,2.829564094543457
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,9,1.0,5,42,0.001,0.9658236899580046,0.9575363893645793,0.9987338362920237,3.1958470344543457
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,10,1.0,5,42,0.001,0.9607559895904844,0.9470487756669763,0.9985640520490895,3.0214219093322754
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,11,1.0,5,42,0.001,0.9531188028708669,0.937364800975524,0.9956396434529274,3.0863990783691406
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,12,1.0,5,42,0.001,0.9349930452979838,0.9081131279525175,0.9965862187746939,2.9793410301208496
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,13,1.0,5,42,0.001,0.9493566500830891,0.9292529046025881,0.9982056812288297,2.9118258953094482
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,14,1.0,5,42,0.001,0.9638278025446457,0.9473209333819215,0.9986733398695872,2.7361059188842773
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,15,1.0,5,42,0.001,0.9769825083774079,0.9700715470899229,0.9993787670152251,3.1166529655456543
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,16,1.0,5,42,0.001,0.9579499558979433,0.9388776366302916,0.9968433316254386,2.8466808795928955
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,17,1.0,5,42,0.001,0.958801649865783,0.9567419309403464,0.9984050122663479,2.8470211029052734
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,18,1.0,5,42,0.001,0.9660424414470761,0.9556069045434707,0.9986439718737037,2.8253397941589355
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,19,1.0,5,42,0.001,0.9616665872495151,0.9611500916900082,0.998606699972602,3.0337510108947754
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,20,1.0,5,42,0.001,0.9716960565208161,0.9700046462137794,0.9991841353371335,3.256037950515747
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,21,1.0,5,42,0.001,0.9589738134311447,0.9535591769533129,0.9983421587697091,3.0085740089416504
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,22,1.0,5,42,0.001,0.9525312922103911,0.9291729031894856,0.9980314530562682,2.9756381511688232
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,23,1.0,5,42,0.001,0.9702182557577985,0.9661408832184719,0.9983240131966531,3.415776014328003
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,24,1.0,5,42,0.001,0.9675028862075601,0.9447391272979134,0.9979782184962881,3.211977958679199
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,25,1.0,5,42,0.001,0.9739161755071375,0.9691354254893483,0.9991643724185749,3.114628791809082
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,26,1.0,5,42,0.001,0.9724557307466535,0.963838156122202,0.9983646744921509,3.046750783920288
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,27,1.0,5,42,0.001,0.9677458293827557,0.9567342687150872,0.9977659130326865,3.171147584915161
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,28,1.0,5,42,0.001,0.9707642187296169,0.9594108231560841,0.9991196313699593,3.16817307472229
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,29,1.0,5,42,0.001,0.9575188487545517,0.9573319139983006,0.9984254999560459,3.214272975921631
fedprox_alpha1.0_c5_mu0.001_seed42,fedprox,30,1.0,5,42,0.001,0.9717935563467093,0.9632938133958959,0.9984998082953507,3.461059093475342
