run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,1,1.0,10,42,0.001,0.44138212124564724,0.2808112594881984,0.41895064579874697,7.054497957229614
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,2,1.0,10,42,0.001,0.5107198335800986,0.36897513859918984,0.5042503455513698,8.925597190856934
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,3,1.0,10,42,0.001,0.6268357082538725,0.528400432639473,0.5572312968618034,8.321651935577393
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,4,1.0,10,42,0.001,0.7735446574177235,0.6944797607086005,0.5832257584135733,7.175610303878784
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,5,1.0,10,42,0.001,0.8563290522436086,0.785822759052908,0.5874304560079527,5.903734922409058
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,6,1.0,10,42,0.001,0.9066764667800886,0.8296378262779905,0.5924819707492881,5.183886766433716
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,7,1.0,10,42,0.001,0.8945194578468012,0.8185897028958161,0.5938964958735279,6.4386138916015625
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,8,1.0,10,42,0.001,0.8901915800041451,0.8097538562157733,0.593733392761125,6.724316120147705
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,9,1.0,10,42,0.001,0.9030631303910982,0.8295547503646455,0.5940107950162222,8.453470945358276
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,10,1.0,10,42,0.001,0.9048625789709186,0.8372064264345868,0.5945812279166298,7.8146960735321045
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,11,1.0,10,42,0.001,0.9132193055372129,0.8371909976036582,0.5953878099714169,5.712640047073364
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,12,1.0,10,42,0.001,0.8964788001072606,0.8049642467938458,0.5937691634078193,5.60222315788269
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,13,1.0,10,42,0.001,0.8982541231947672,0.8216299444060311,0.595023666699651,7.330182075500488
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,14,1.0,10,42,0.001,0.9036061296996911,0.841960305799839,0.5954507546581719,6.247047185897827
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,15,1.0,10,42,0.001,0.9101806721927449,0.8275876512066016,0.5952685827269838,6.7050909996032715
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,16,1.0,10,42,0.001,0.8995634780591417,0.8309685626847634,0.5964792173863509,7.375504970550537
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,17,1.0,10,42,0.001,0.9108754120605228,0.8513814446919549,0.5947321152468052,4.766370058059692
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,18,1.0,10,42,0.001,0.9171642402678621,0.8551850935085078,0.5965845765958259,6.409965991973877
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,19,1.0,10,42,0.001,0.9068699882693846,0.8533023021519748,0.5970709329667803,6.7389960289001465
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,20,1.0,10,42,0.001,0.9002253061706679,0.8001266323417944,0.5962980273484207,5.771087884902954
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,21,1.0,10,42,0.001,0.9046615426370856,0.8283076876862484,0.5956400647602805,6.055718898773193
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,22,1.0,10,42,0.001,0.8981243464872135,0.8262890814644654,0.5972373841896721,6.477146148681641
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,23,1.0,10,42,0.001,0.9080214517478099,0.8330024800831707,0.5942797988115123,6.415938854217529
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,24,1.0,10,42,0.001,0.9106556022327549,0.8515767106244594,0.5972436590015134,5.869966983795166
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,25,1.0,10,42,0.001,0.8938295882337026,0.8263694031102041,0.5964135980276054,5.709864854812622
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,26,1.0,10,42,0.001,0.8791866624680406,0.808928187015816,0.5972482583542104,5.138900995254517
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,27,1.0,10,42,0.001,0.8868591692166936,0.8231721907391572,0.5968909377590672,4.999198913574219
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,28,1.0,10,42,0.001,0.9251580124246119,0.8461185766491368,0.5968723616204274,6.691965818405151
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,29,1.0,10,42,0.001,0.9154815579671611,0.855152518610098,0.5960436547485528,5.021220922470093
fedprox_alpha1.0_c10_mu0.001_seed42,fedprox,30,1.0,10,42,0.001,0.9167311358944954,0.8355907874127038,0.5954955630648306,5.914287805557251
