run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,1,0.1,10,42,0.001,0.2441209000631025,0.21488224283625862,0.0,4.694729804992676
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,2,0.1,10,42,0.001,0.6318425056027654,0.5131325399376291,0.0,6.065023899078369
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,3,0.1,10,42,0.001,0.4837365753747422,0.4248201972199957,0.0,8.325788974761963
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,4,0.1,10,42,0.001,0.5451433707589659,0.410852527432603,0.0,7.825568914413452
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,5,0.1,10,42,0.001,0.4838074746846977,0.4349398913447235,0.0,8.735229015350342
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,6,0.1,10,42,0.001,0.607623868849929,0.5060232200067943,0.0,7.138323783874512
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,7,0.1,10,42,0.001,0.5552090862025884,0.44794698599834437,0.0,7.016356945037842
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,8,0.1,10,42,0.001,0.5389242136677158,0.47798707686614916,0.0,12.26314091682434
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,9,0.1,10,42,0.001,0.8638092788144089,0.71780922813131,0.0,8.687839031219482
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,10,0.1,10,42,0.001,0.5163838502501293,0.4476005036038023,0.0,7.631239891052246
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,11,0.1,10,42,0.001,0.6374186214302494,0.5155746512419299,0.0,9.8592209815979
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,12,0.1,10,42,0.001,0.4891717090844997,0.4403716507465504,0.0,4.656196117401123
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,13,0.1,10,42,0.001,0.7217233296063666,0.5707503279049889,0.0,7.339053153991699
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,14,0.1,10,42,0.001,0.4885306723969515,0.44779535472087845,0.0,6.589660882949829
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,15,0.1,10,42,0.001,0.7511572542437797,0.5911857735781973,0.0,5.370232820510864
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,16,0.1,10,42,0.001,0.5323834953195419,0.4645155046050681,0.0,5.4089460372924805
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,17,0.1,10,42,0.001,0.6855638313487151,0.5319969696865725,0.0,5.664883852005005
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,18,0.1,10,42,0.001,0.6683204080348404,0.5111841969401553,0.0,7.09962010383606
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,19,0.1,10,42,0.001,0.6736018447116259,0.47496823844686586,0.0,8.700444221496582
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,20,0.1,10,42,0.001,0.5061969758190689,0.45872996061476734,0.0,6.293213129043579
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,21,0.1,10,42,0.001,0.6927184244044708,0.5560892816469734,0.0,4.673504114151001
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,22,0.1,10,42,0.001,0.5467061519387101,0.5049341260189332,0.0,5.086516857147217
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,23,0.1,10,42,0.001,0.7079125012606545,0.5540607423027075,0.0,5.174304008483887
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,24,0.1,10,42,0.001,0.5984685189969048,0.43176642006797666,0.0,5.265851259231567
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,25,0.1,10,42,0.001,0.7704395424214165,0.6547927087561998,0.0,5.519762277603149
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,26,0.1,10,42,0.001,0.4811207234514348,0.3969839504288862,0.0,6.817012071609497
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,27,0.1,10,42,0.001,0.5809421508891413,0.4878331552501445,0.0,5.74460506439209
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,28,0.1,10,42,0.001,0.5764422625229739,0.43816034473292537,0.0,5.122388124465942
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,29,0.1,10,42,0.001,0.6471875321054529,0.5003178335371479,0.0,5.3195271492004395
fedprox_alpha0.1_c10_mu0.001_seed42,fedprox,30,0.1,10,42,0.001,0.5325655294020548,0.441530302908365,0.0,5.98721718788147
