run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,1,10.0,10,42,0.001,0.41345256707876404,0.20507867051209483,0.7032962485099818,3.5170998573303223
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,2,10.0,10,42,0.001,0.42827529849691276,0.23693351883562017,0.7219491373622393,3.2429771423339844
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,3,10.0,10,42,0.001,0.47648657494656116,0.310539209122786,0.8264354514968119,6.116121053695679
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,4,10.0,10,42,0.001,0.5789432417407794,0.4933929225918902,0.9066419348671451,6.559457063674927
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,5,10.0,10,42,0.001,0.638401822603601,0.5874531525807578,0.9485668945716382,3.6799280643463135
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,6,10.0,10,42,0.001,0.7504375835063251,0.7389790648960177,0.9662162699379028,4.0464088916778564
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,7,10.0,10,42,0.001,0.8720221477109302,0.8731651323529755,0.9839612028813608,4.592841863632202
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,8,10.0,10,42,0.001,0.9028817675332725,0.90020734569428,0.9867186885551366,3.9230852127075195
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,9,10.0,10,42,0.001,0.8775796314188927,0.8699260927177667,0.9856669718305178,4.600539207458496
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,10,10.0,10,42,0.001,0.9065501510952949,0.9057372964598427,0.9887837540089169,6.383208274841309
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,11,10.0,10,42,0.001,0.9065295967142752,0.9042975049741923,0.9892502110982854,5.8161091804504395
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,12,10.0,10,42,0.001,0.9086657841702303,0.9054083667884898,0.9895491205289246,7.313310146331787
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,13,10.0,10,42,0.001,0.9236670134471092,0.9223151785467267,0.9907573394114676,4.789512872695923
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,14,10.0,10,42,0.001,0.8938228783680219,0.8948728522376168,0.9878148011517636,4.844986915588379
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,15,10.0,10,42,0.001,0.8987938179012049,0.9012146810650762,0.9900922981908005,4.783369302749634
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,16,10.0,10,42,0.001,0.9159754827555786,0.9174976051656513,0.9909120630846084,5.540701866149902
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,17,10.0,10,42,0.001,0.9343366757121888,0.9356509571241615,0.9907880496958394,4.902161121368408
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,18,10.0,10,42,0.001,0.8779265755524306,0.8731738346961639,0.9883113317131331,5.363775014877319
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,19,10.0,10,42,0.001,0.9212526549298096,0.921555800773368,0.9878875946747776,5.2950279712677
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,20,10.0,10,42,0.001,0.8428431795063122,0.8516387791792905,0.9856628707472612,6.145388126373291
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,21,10.0,10,42,0.001,0.9026770326117111,0.903150143103932,0.990859398119245,6.3101487159729
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,22,10.0,10,42,0.001,0.8933394077043189,0.8945132813447684,0.9866454125239862,5.7338643074035645
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,23,10.0,10,42,0.001,0.9076242603345885,0.910748051263733,0.9868596120706616,5.558103084564209
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,24,10.0,10,42,0.001,0.917964735219181,0.9149897482740348,0.9901804045761213,6.9937238693237305
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,25,10.0,10,42,0.001,0.9016896865104801,0.8996435699425623,0.9896814709949655,6.014878034591675
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,26,10.0,10,42,0.001,0.8779321280254934,0.8797434316435767,0.9858701201262485,5.421018838882446
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,27,10.0,10,42,0.001,0.9312589575647031,0.9325608360461475,0.9927397210962232,6.352789878845215
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,28,10.0,10,42,0.001,0.8805262078322954,0.8812976997080518,0.986776969612508,6.4796788692474365
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,29,10.0,10,42,0.001,0.8954225515706362,0.89118586259941,0.9913164272774926,6.972602844238281
fedprox_alpha10.0_c10_mu0.001_seed42,fedprox,30,10.0,10,42,0.001,0.9114408195923245,0.9111578687981139,0.9915389789551445,6.731812238693237
