run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,1,10.0,5,42,0.001,0.41309175965121947,0.22773542833325,0.7545738588494545,2.0859549045562744
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,2,10.0,5,42,0.001,0.5669924681581426,0.49714719397511653,0.9186764524916725,2.0532448291778564
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,3,10.0,5,42,0.001,0.755540903895485,0.7481868514407195,0.9718613417566919,2.1670970916748047
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,4,10.0,5,42,0.001,0.8709976097664495,0.8673263523075679,0.9904792771152444,2.672896146774292
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,5,10.0,5,42,0.001,0.9181014992944716,0.918167964354431,0.9913598409128646,2.217319965362549
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,6,10.0,5,42,0.001,0.9331003563011694,0.9356257799641817,0.9943583328357567,2.2965409755706787
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,7,10.0,5,42,0.001,0.9391853845781537,0.9380002729541698,0.9950523991947122,2.145261764526367
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,8,10.0,5,42,0.001,0.9422065318157958,0.9397814139148564,0.9947490087703116,2.452922821044922
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,9,10.0,5,42,0.001,0.9424336896345029,0.9426851280504911,0.9951463761298008,2.206923723220825
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,10,10.0,5,42,0.001,0.9404840893098477,0.938769783210841,0.9959422773750781,2.5202250480651855
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,11,10.0,5,42,0.001,0.9357290435715003,0.9334305709175112,0.9949678991916302,2.7346479892730713
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,12,10.0,5,42,0.001,0.9334312212157428,0.9336439653319634,0.9941656707676334,2.602537155151367
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,13,10.0,5,42,0.001,0.9426460406637551,0.9429755138390936,0.9949464439388173,2.8025898933410645
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,14,10.0,5,42,0.001,0.936422233639745,0.9337244528627295,0.9947328766183159,2.480441093444824
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,15,10.0,5,42,0.001,0.9342834548927188,0.9289257653505294,0.9941702626989046,2.6911370754241943
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,16,10.0,5,42,0.001,0.9442065318157957,0.9433580075985477,0.9916454280851982,2.455886125564575
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,17,10.0,5,42,0.001,0.9425691175868322,0.9395251894873908,0.9944731894881038,2.7024452686309814
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,18,10.0,5,42,0.001,0.935569999962769,0.933033217707578,0.9946881890354922,2.701704978942871
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,19,10.0,5,42,0.001,0.9521763970021556,0.9511564512277865,0.9944646848995455,3.008233070373535
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,20,10.0,5,42,0.001,0.9465540501800124,0.9470481368370726,0.9946943722483657,3.805689811706543
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,21,10.0,5,42,0.001,0.9401561321404504,0.9381302341429972,0.9968893790625637,3.1439108848571777
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,22,10.0,5,42,0.001,0.944988100955721,0.9419815491214564,0.9962858802860854,2.9181413650512695
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,23,10.0,5,42,0.001,0.9356583790344498,0.9327819982350448,0.9946714132087214,3.293278932571411
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,24,10.0,5,42,0.001,0.9342834548927188,0.9315724113080135,0.9952719618279116,2.733591079711914
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,25,10.0,5,42,0.001,0.9214348326278049,0.9255476306770207,0.9947171144915368,2.992806911468506
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,26,10.0,5,42,0.001,0.9409033332961023,0.9405298337017536,0.9964516114472808,2.675049066543579
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,27,10.0,5,42,0.001,0.9123286571131789,0.9033655434071916,0.9918919159383954,2.803138017654419
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,28,10.0,5,42,0.001,0.9214499000346248,0.922880435224028,0.9939859632483893,2.5694000720977783
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,29,10.0,5,42,0.001,0.9341597435525125,0.9349309656909716,0.9949228974129081,2.8049139976501465
fedprox_alpha10.0_c5_mu0.001_seed42,fedprox,30,10.0,5,42,0.001,0.9255470879732531,0.9244446397628753,0.9967174390896432,2.6369011402130127
