run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,1,0.1,5,42,0.001,0.292448278524008,0.1732809018581176,0.0,2.206855058670044
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,2,0.1,5,42,0.001,0.525551487907903,0.37973589435774313,0.0,2.5500950813293457
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,3,0.1,5,42,0.001,0.5837735003147231,0.435966546353345,0.0,3.8028671741485596
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,4,0.1,5,42,0.001,0.48482904993210696,0.3909539920822838,0.0,3.5057320594787598
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,5,0.1,5,42,0.001,0.5677848738930259,0.4569738899937488,0.0,2.8876941204071045
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,6,0.1,5,42,0.001,0.6419408815413911,0.47965558088843024,0.0,2.8890743255615234
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,7,0.1,5,42,0.001,0.34180546153450275,0.2904785699771778,0.0,3.024121046066284
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,8,0.1,5,42,0.001,0.6141626682976845,0.38704523876486696,0.0,2.9486801624298096
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,9,0.1,5,42,0.001,0.6230803375256826,0.4426061134379443,0.0,3.162071704864502
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,10,0.1,5,42,0.001,0.6217463074468632,0.5612562280486809,0.0,3.04459810256958
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,11,0.1,5,42,0.001,0.5688187095956897,0.42832589646843555,0.0,3.245476245880127
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,12,0.1,5,42,0.001,0.4336395252629621,0.45459117207528565,0.0,3.2922611236572266
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,13,0.1,5,42,0.001,0.39536362394745905,0.34658005505398154,0.0,2.913072109222412
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,14,0.1,5,42,0.001,0.41980364445394547,0.4367972958978526,0.0,3.06745982170105
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,15,0.1,5,42,0.001,0.551855540116309,0.513771712513747,0.0,3.3959479331970215
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,16,0.1,5,42,0.001,0.6549385102314699,0.46875801089059743,0.0,3.6288928985595703
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,17,0.1,5,42,0.001,0.5564880860480675,0.5098711864655627,0.0,3.5319411754608154
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,18,0.1,5,42,0.001,0.5446914525955748,0.4297206074279515,0.0,3.2513461112976074
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,19,0.1,5,42,0.001,0.5688737069631002,0.5406909822203939,0.0,3.1764159202575684
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,20,0.1,5,42,0.001,0.5971675415573053,0.5635410770800223,0.0,3.1542110443115234
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,21,0.1,5,42,0.001,0.5424069191577297,0.4015186393911613,0.0,3.177267074584961
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,22,0.1,5,42,0.001,0.6041810172484097,0.40997812479435974,0.0,3.133695363998413
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,23,0.1,5,42,0.001,0.40852219688602276,0.43442077832625703,0.0,2.9007890224456787
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,24,0.1,5,42,0.001,0.40736217503355066,0.4253089086134046,0.0,3.304086923599243
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,25,0.1,5,42,0.001,0.43608842729500435,0.34729749993694076,0.0,3.110185146331787
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,26,0.1,5,42,0.001,0.5637120600309576,0.4612992929315009,0.0,3.047584056854248
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,27,0.1,5,42,0.001,0.6608491585610621,0.605410809049655,0.0,3.160662889480591
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,28,0.1,5,42,0.001,0.46311448201327776,0.4054434723964639,0.0,3.3530478477478027
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,29,0.1,5,42,0.001,0.5792728807654699,0.3752160171815344,0.0,3.0258989334106445
fedprox_alpha0.1_c5_mu0.001_seed42,fedprox,30,0.1,5,42,0.001,0.30664395315970117,0.23523764095281097,0.0,3.0432231426239014
