run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time,dropout
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,1,1.0,5,42,0.0005,0.5219059216727248,0.33080410502816593,0.7948159464814242,3.9123480319976807,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,2,1.0,5,42,0.0005,0.6873575026035335,0.596713946546836,0.9564252131993655,6.571772813796997,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,3,1.0,5,42,0.0005,0.8985919873842702,0.8611476238499917,0.9859340764420766,4.9700257778167725,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,4,1.0,5,42,0.0005,0.8868467247918952,0.8540761680441931,0.991225566231544,5.802088260650635,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,5,1.0,5,42,0.0005,0.9122720880193492,0.8790340211442368,0.990724465657302,4.605609893798828,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,6,1.0,5,42,0.0005,0.9103996590673624,0.8819586377239753,0.9942326662072561,5.307735204696655,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,7,1.0,5,42,0.0005,0.9360838151362028,0.9116291968324097,0.995003628183186,4.269025087356567,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,8,1.0,5,42,0.0005,0.9405351674469076,0.9293356581234221,0.9940749430868021,3.800220251083374,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,9,1.0,5,42,0.0005,0.9365683458868945,0.9207139703100834,0.9949287343116808,4.683726072311401,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,10,1.0,5,42,0.0005,0.9346288504596098,0.9085447777321566,0.9966572513156198,4.476123332977295,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,11,1.0,5,42,0.0005,0.9423368167890611,0.9266486529055395,0.9968454194766988,4.7010698318481445,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,12,1.0,5,42,0.0005,0.9208403509495854,0.885958408207288,0.9950430630634208,4.23569393157959,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,13,1.0,5,42,0.0005,0.9330849885900689,0.9287539268294605,0.9953974858641981,4.17297101020813,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,14,1.0,5,42,0.0005,0.9113347701442592,0.8951108901913637,0.9977201946182029,4.124959230422974,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,15,1.0,5,42,0.0005,0.9105158704954883,0.869240830076594,0.9952431657177316,4.380113124847412,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,16,1.0,5,42,0.0005,0.9231470992119316,0.9023332158883601,0.9958621865821516,4.256762981414795,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,17,1.0,5,42,0.0005,0.9328499475859676,0.90389693678535,0.9958736233179722,4.742464065551758,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,18,1.0,5,42,0.0005,0.9401481365221094,0.9280634761307333,0.9976053787523496,4.0956621170043945,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,19,1.0,5,42,0.0005,0.9493046716934017,0.9350125784463362,0.9978303630385368,4.18487286567688,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,20,1.0,5,42,0.0005,0.9444073679418888,0.9388246493581993,0.997206714650128,4.8716771602630615,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,21,1.0,5,42,0.0005,0.9409142065826984,0.9252455994698303,0.9967621757353381,4.220242977142334,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,22,1.0,5,42,0.0005,0.9210786652393841,0.8845272387763139,0.9966829587812647,3.776726007461548,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,23,1.0,5,42,0.0005,0.9539289491500491,0.9406197352124369,0.9971878242457916,4.487874746322632,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,24,1.0,5,42,0.0005,0.9628438967458457,0.9578053303012946,0.9979235757017761,4.757962226867676,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,25,1.0,5,42,0.0005,0.9629879844954484,0.9492768669068727,0.9985272887881349,4.213196039199829,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,26,1.0,5,42,0.0005,0.9628612527483792,0.9504527894978171,0.9979548394744528,4.310813903808594,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,27,1.0,5,42,0.0005,0.9722662111787583,0.9775312911537071,0.9982361635223811,3.904890298843384,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,28,1.0,5,42,0.0005,0.9494974645469947,0.9261449825104945,0.9963203109960741,4.094372987747192,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,29,1.0,5,42,0.0005,0.9700634481949703,0.9623500372033968,0.9974157408879106,4.351931095123291,0.0
perfedavg_alpha1.0_c5_ai0.0005_seed42,perfedavg,30,1.0,5,42,0.0005,0.9471939284516161,0.9271155693916633,0.9976580121316847,4.179755926132202,0.0
