run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,1,1.0,5,42,0.0001,0.4585289739735245,0.2332134996221617,0.7782312195139776,5.124321937561035
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,2,1.0,5,42,0.0001,0.7261422689351684,0.6667165399198132,0.9662792453640746,4.7237958908081055
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,3,1.0,5,42,0.0001,0.9011737895038487,0.8646381667451404,0.9890265284258497,4.7221739292144775
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,4,1.0,5,42,0.0001,0.9118961714326129,0.8839430762590672,0.9925261235694774,6.635385751724243
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,5,1.0,5,42,0.0001,0.9022182763252813,0.8605086126810153,0.991566101645058,4.06016993522644
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,6,1.0,5,42,0.0001,0.9378392710794831,0.9084862114884409,0.9942222308755214,4.832391262054443
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,7,1.0,5,42,0.0001,0.9435730299765825,0.9180162633904286,0.9959440788170953,4.499712944030762
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,8,1.0,5,42,0.0001,0.9368986799186952,0.9143629279008352,0.9958078462060147,4.899967193603516
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,9,1.0,5,42,0.0001,0.9379854760093661,0.9116691607609413,0.9968968966425882,5.46219801902771
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,10,1.0,5,42,0.0001,0.9520428773300648,0.9484640279647302,0.9972347257369993,5.157319784164429
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,11,1.0,5,42,0.0001,0.9503632412316705,0.9293599218845081,0.9966055192815542,4.314975023269653
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,12,1.0,5,42,0.0001,0.9467055135712896,0.9371477936545292,0.9969259518525092,4.314248323440552
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,13,1.0,5,42,0.0001,0.9357166519190546,0.8999036051359941,0.9949528577446356,4.323270797729492
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,14,1.0,5,42,0.0001,0.9520038413465238,0.9369472428491183,0.9967690701942548,4.402665138244629
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,15,1.0,5,42,0.0001,0.9550590598787323,0.9334909296828446,0.9979912831432645,4.255600929260254
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,16,1.0,5,42,0.0001,0.9126576126078051,0.8726260923314723,0.9930531369051071,4.360147953033447
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,17,1.0,5,42,0.0001,0.9567938865337815,0.9462105791819659,0.9975841401142664,4.586477041244507
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,18,1.0,5,42,0.0001,0.9471019087096139,0.9330691981467808,0.9957729313168715,4.6213219165802
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,19,1.0,5,42,0.0001,0.959824151799285,0.9386355292279875,0.9974099223342959,4.056966304779053
perfedavg_alpha1.0_c5_ai0.0001_seed42,perfedavg,20,1.0,5,42,0.0001,0.9314259817799057,0.9060529494328678,0.9956003159848216,5.153188943862915
