run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,1,1.0,5,42,0.01,0.5627476289087371,0.4309053940788692,0.7925545605420815,4.474469900131226
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,2,1.0,5,42,0.01,0.7064193766220874,0.5925276508712685,0.9615713424158315,4.589931011199951
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,3,1.0,5,42,0.01,0.8915244258558428,0.8573481002589267,0.9879232007044875,4.376255989074707
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,4,1.0,5,42,0.01,0.9216928961159192,0.9092941724652638,0.9906125538110431,6.520656108856201
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,5,1.0,5,42,0.01,0.9065555343881403,0.868627005312745,0.9910208313018645,4.300732851028442
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,6,1.0,5,42,0.01,0.9232207575826262,0.8914822747747826,0.9947052874956647,4.724087715148926
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,7,1.0,5,42,0.01,0.942641192185383,0.9113969768979977,0.9952116373789741,4.263803958892822
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,8,1.0,5,42,0.01,0.936855365280683,0.9162264447097785,0.9965828980050133,4.412593841552734
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,9,1.0,5,42,0.01,0.9600725750583716,0.952729478013938,0.9958307960294256,4.676553010940552
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,10,1.0,5,42,0.01,0.9445222237703151,0.9187547427866789,0.9956034829743944,5.115140199661255
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,11,1.0,5,42,0.01,0.9454746908497459,0.9267024125931342,0.9970009909470111,5.234436988830566
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,12,1.0,5,42,0.01,0.9418341684552551,0.9159339304244745,0.9967614018335882,4.360199928283691
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,13,1.0,5,42,0.01,0.94438140930641,0.9328784045381564,0.997708757541403,4.3445188999176025
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,14,1.0,5,42,0.01,0.9532595277168591,0.9423120932290745,0.9962856139775207,4.2641050815582275
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,15,1.0,5,42,0.01,0.9580127437187693,0.9492543894854262,0.9963265533927063,4.326520204544067
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,16,1.0,5,42,0.01,0.945349726052031,0.9244881737154683,0.996606300450785,5.087444067001343
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,17,1.0,5,42,0.01,0.9384251857857027,0.9183024791784579,0.9972809079404866,5.858196973800659
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,18,1.0,5,42,0.01,0.9320429238558395,0.9226027986260096,0.9945365507170901,4.540282249450684
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,19,1.0,5,42,0.01,0.941893833727027,0.9393192268858164,0.9948064149815247,4.270119905471802
perfedavg_alpha1.0_c5_ai0.01_seed42,perfedavg,20,1.0,5,42,0.01,0.9582110166562531,0.9504621110410705,0.9980170966049453,4.357398986816406
