run,round,alpha,num_clients,accuracy,f1,auc,time
fedavg_alpha1.0_c10,1,1.0,10,0.4626031695878015,0.2531723126966262,0.421759649679428,4.62385106086731
fedavg_alpha1.0_c10,2,1.0,10,0.30444997326076906,0.25834959235566524,0.4499794684212798,4.91785192489624
fedavg_alpha1.0_c10,3,1.0,10,0.5631710575885973,0.43893066002872827,0.5611004279117531,4.679934978485107
fedavg_alpha1.0_c10,4,1.0,10,0.6511936848981879,0.5495730415068036,0.578775439100124,4.803430080413818
fedavg_alpha1.0_c10,5,1.0,10,0.8276177400353838,0.759405605427339,0.5846395150086527,3.867354154586792
fedavg_alpha1.0_c10,6,1.0,10,0.8286304261016326,0.788712747318767,0.5898678949920627,4.986729860305786
fedavg_alpha1.0_c10,7,1.0,10,0.8428584940165113,0.7597448494397334,0.5938970823221194,4.680760860443115
fedavg_alpha1.0_c10,8,1.0,10,0.8791000993311752,0.8070497867325148,0.593320669572156,4.42121696472168
fedavg_alpha1.0_c10,9,1.0,10,0.866324807943208,0.8118385365991816,0.5937109813845862,4.566575050354004
fedavg_alpha1.0_c10,10,1.0,10,0.8462532207847895,0.7540470456466661,0.5932253001409414,4.860050201416016
fedavg_alpha1.0_c10,11,1.0,10,0.8477272904725204,0.7664990573815701,0.5928573145404819,4.801018953323364
fedavg_alpha1.0_c10,12,1.0,10,0.8787347062001889,0.7923760743241984,0.5931780677886642,4.137000799179077
fedavg_alpha1.0_c10,13,1.0,10,0.9116275290316433,0.8647911982783831,0.5954900663672181,4.730755805969238
fedavg_alpha1.0_c10,14,1.0,10,0.8966312178311068,0.8508169875325929,0.5959534006985809,4.003983736038208
fedavg_alpha1.0_c10,15,1.0,10,0.870987685488067,0.7874100877049075,0.5934155998833808,3.9031689167022705
fedavg_alpha1.0_c10,16,1.0,10,0.8307309487779202,0.7757832436459536,0.5918116241633381,4.248255968093872
fedavg_alpha1.0_c10,17,1.0,10,0.8561544524770778,0.7516783617679937,0.5938757684489835,4.106446743011475
fedavg_alpha1.0_c10,18,1.0,10,0.8790036428574556,0.8020891868324231,0.594208184249826,4.949656009674072
fedavg_alpha1.0_c10,19,1.0,10,0.8793296568565075,0.8217362231281202,0.5942372772412551,4.9331278800964355
fedavg_alpha1.0_c10,20,1.0,10,0.8968507687495407,0.824842353189125,0.5957789763232355,5.3063130378723145
fedavg_alpha1.0_c10,21,1.0,10,0.8293090500130326,0.7535367779565636,0.5912383298910455,5.2824060916900635
fedavg_alpha1.0_c10,22,1.0,10,0.8562428878512275,0.7708093093663229,0.5927586840840522,4.59721302986145
fedavg_alpha1.0_c10,23,1.0,10,0.8541144687322444,0.750275238716647,0.5950158555137876,3.7845089435577393
fedavg_alpha1.0_c10,24,1.0,10,0.8719383418069327,0.7940933576775209,0.5942240624699957,4.000278949737549
fedavg_alpha1.0_c10,25,1.0,10,0.8568679044041911,0.7708713557111497,0.5940845743021578,3.8220882415771484
