run,round,alpha,num_clients,accuracy,f1,auc,time
fedavg_alpha1.0_c5,1,1.0,5,0.5110319158489168,0.3155801584277559,0.82630316961563,3.6660940647125244
fedavg_alpha1.0_c5,2,1.0,5,0.6969029863856226,0.6119355553146294,0.9654294679001942,3.379987955093384
fedavg_alpha1.0_c5,3,1.0,5,0.9320730069755099,0.9150752129279478,0.9896614678686355,3.4891598224639893
fedavg_alpha1.0_c5,4,1.0,5,0.9207187490554816,0.9029827157253433,0.9929671397727844,3.3642220497131348
fedavg_alpha1.0_c5,5,1.0,5,0.8912641266781136,0.8583199036679112,0.9904898330341585,3.276089668273926
fedavg_alpha1.0_c5,6,1.0,5,0.9127797154694776,0.882656043253391,0.9905535718915408,3.482825994491577
fedavg_alpha1.0_c5,7,1.0,5,0.928409799231238,0.9035605600421119,0.9926872198606373,3.300644874572754
fedavg_alpha1.0_c5,8,1.0,5,0.8870550455799368,0.8532508344229495,0.9891848428098076,3.2732579708099365
fedavg_alpha1.0_c5,9,1.0,5,0.9061230716450495,0.8798074064053856,0.9918991658630147,3.345522880554199
fedavg_alpha1.0_c5,10,1.0,5,0.8965057575603503,0.8537593817994871,0.9903286279916103,3.890033006668091
fedavg_alpha1.0_c5,11,1.0,5,0.9031079555838858,0.872259214807894,0.993343364228586,3.3832390308380127
fedavg_alpha1.0_c5,12,1.0,5,0.8950609018530451,0.8624698832840929,0.9932158624255569,3.467916965484619
fedavg_alpha1.0_c5,13,1.0,5,0.8983450704615263,0.823592236792931,0.9937744916058782,3.262176036834717
fedavg_alpha1.0_c5,14,1.0,5,0.9124388611187335,0.889568617729028,0.9941495497552095,3.665684938430786
fedavg_alpha1.0_c5,15,1.0,5,0.9216455466116287,0.9044909471352561,0.9944762071632832,3.5680360794067383
fedavg_alpha1.0_c5,16,1.0,5,0.9225705487192377,0.8933621778778142,0.9938614987789502,4.071290731430054
fedavg_alpha1.0_c5,17,1.0,5,0.9371770966795387,0.9173790144602002,0.9960301755473887,3.166595935821533
fedavg_alpha1.0_c5,18,1.0,5,0.9168544960555971,0.8633688640866353,0.9951982170940411,3.148916006088257
fedavg_alpha1.0_c5,19,1.0,5,0.9250722070154568,0.8921093755238143,0.9946498429827173,3.1583080291748047
fedavg_alpha1.0_c5,20,1.0,5,0.9026840954737401,0.8768771188624432,0.9933780628787059,3.308289051055908
fedavg_alpha1.0_c5,21,1.0,5,0.8737601972459368,0.838155228046847,0.9928855478186918,3.1397202014923096
fedavg_alpha1.0_c5,22,1.0,5,0.9052713776772098,0.8787153318775545,0.9937026943859518,3.1658880710601807
fedavg_alpha1.0_c5,23,1.0,5,0.9129894529759486,0.8892396718769628,0.9915047416336031,3.1659910678863525
fedavg_alpha1.0_c5,24,1.0,5,0.9036668451671227,0.8667524123317006,0.9941375663994736,3.8545429706573486
fedavg_alpha1.0_c5,25,1.0,5,0.9032462583426747,0.8768871848836607,0.9915619712322326,3.706232786178589
fedavg_alpha1.0_c5,26,1.0,5,0.9255156299263294,0.9047842734664716,0.9942481511146262,3.700191020965576
