run,alpha,num_clients,best_accuracy,best_f1,best_auc,final_accuracy,final_f1,total_time_s
fedavg_alpha1.0_c5,1.0,5,0.9371770966795387,0.9233947365605852,0.9960301755473887,0.912062944531997,0.8851923261836463,1675
fedavg_alpha10.0_c5,10.0,5,0.915346453556124,0.9158835153575066,0.9924327930438954,0.9079902082332749,0.9088224671647913,1480
fedavg_alpha1.0_c10,1.0,10,0.9116275290316433,0.8647911982783831,0.5959534006985809,0.8443775950425851,0.7587691488849009,1902
fedavg_alpha10.0_c10,10.0,10,0.9064701657211917,0.903159683220616,0.9902057877085241,0.8615844297441424,0.8495324772659743,1953
fedavg_alpha0.1_c10,0.1,10,0.8177409191174579,0.6665514173200159,0.0,0.6651200789282185,0.566519204654996,1774
fedavg_alpha0.1_c5,0.1,5,0.690200977423071,0.5672428471773173,0.0,0.5691783747619783,0.5170583774801955,1602
