run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,1,1.0,5,42,0.01,0.47216358167158134,0.2256916263046958,0.7933142029475179,3.5114939212799072
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,2,1.0,5,42,0.01,0.7429028747752675,0.6764260866957642,0.9781140802181987,3.5643091201782227
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,3,1.0,5,42,0.01,0.9268226227236847,0.9211557309681611,0.9946113745064457,3.547729969024658
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,4,1.0,5,42,0.01,0.9561057534983584,0.9486238370867512,0.9982505172818502,3.9083797931671143
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,5,1.0,5,42,0.01,0.942129941218632,0.9364272914071599,0.9970140745641423,3.2246978282928467
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,6,1.0,5,42,0.01,0.961294705529057,0.950949358988051,0.9980360462689003,3.296360969543457
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,7,1.0,5,42,0.01,0.9523450459281934,0.9412672157484897,0.9971966933129446,3.5642077922821045
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,8,1.0,5,42,0.01,0.9523276899256597,0.9404044310621215,0.9976020435042916,3.2823917865753174
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,9,1.0,5,42,0.01,0.9537881346861439,0.9460295940930921,0.9983728772865135,3.484524965286255
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,10,1.0,5,42,0.01,0.9647596403358449,0.9575959583618483,0.9980669900327392,3.3529417514801025
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,11,1.0,5,42,0.01,0.9642397867361489,0.9687218317209716,0.998533180821885,3.3058791160583496
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,12,1.0,5,42,0.01,0.9660250854445426,0.9540498629554659,0.998496023597022,3.5198991298675537
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,13,1.0,5,42,0.01,0.9578351000695168,0.9479644388526027,0.9978265952881216,3.116279125213623
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,14,1.0,5,42,0.01,0.9664002404506984,0.959863474515066,0.9982693610883582,3.071810722351074
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,15,1.0,5,42,0.01,0.9527469211504086,0.928549405951388,0.9981516767590243,3.1248810291290283
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,16,1.0,5,42,0.01,0.9659189829857044,0.9648629375496214,0.9989795149560197,3.6305019855499268
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,17,1.0,5,42,0.01,0.9593129008325342,0.9543905397220345,0.9986762475547893,3.2531702518463135
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,18,1.0,5,42,0.01,0.9590919425452691,0.9406148812294365,0.9987791419959663,3.2167561054229736
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,19,1.0,5,42,0.01,0.9783509333958896,0.9745467243501263,0.9989692430325224,3.2169389724731445
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,20,1.0,5,42,0.01,0.9750722448712995,0.9696508360609993,0.9987214990029758,3.2420847415924072
