run,round,alpha,num_clients,accuracy,f1,auc,time
fedavg_alpha10.0_c10,1,10.0,10,0.4113942691675249,0.20156234981457022,0.6749355510408234,4.628837823867798
fedavg_alpha10.0_c10,2,10.0,10,0.5005620763565359,0.3659729668662625,0.8012696583323071,4.529729843139648
fedavg_alpha10.0_c10,3,10.0,10,0.6553284273865669,0.5702727292126348,0.9364960717039581,4.378248929977417
fedavg_alpha10.0_c10,4,10.0,10,0.7209824600843752,0.6835511944196155,0.9589214796451209,4.708147048950195
fedavg_alpha10.0_c10,5,10.0,10,0.8498310092400377,0.8439320009433413,0.9800932188447786,4.539381980895996
fedavg_alpha10.0_c10,6,10.0,10,0.8726711099737776,0.861984516531912,0.9843322680556831,4.6965861320495605
fedavg_alpha10.0_c10,7,10.0,10,0.8796328788250815,0.8769996697416269,0.9841498992253401,4.153230667114258
fedavg_alpha10.0_c10,8,10.0,10,0.8749887908868758,0.8603567956890543,0.9866425520658575,4.057431936264038
fedavg_alpha10.0_c10,9,10.0,10,0.8959038626292388,0.8912564185078319,0.987400776452823,3.7516610622406006
fedavg_alpha10.0_c10,10,10.0,10,0.8886348213270239,0.8849007297088691,0.9873687597060087,4.070111989974976
fedavg_alpha10.0_c10,11,10.0,10,0.9005317563193759,0.8953738607050432,0.9865766926841024,4.486311197280884
fedavg_alpha10.0_c10,12,10.0,10,0.9047758698210135,0.903159683220616,0.986608464441726,4.34837007522583
fedavg_alpha10.0_c10,13,10.0,10,0.8622180775980365,0.8531057147510911,0.9839932643645355,4.625460386276245
fedavg_alpha10.0_c10,14,10.0,10,0.8669446190304604,0.8649416442616398,0.9823772273616008,4.5467610359191895
fedavg_alpha10.0_c10,15,10.0,10,0.8605413375574115,0.8568537325673683,0.981876813913313,4.720696210861206
fedavg_alpha10.0_c10,16,10.0,10,0.8871262201091202,0.8800694626042045,0.9891803069527609,4.714009046554565
fedavg_alpha10.0_c10,17,10.0,10,0.900263108300728,0.897716942893297,0.9902057877085241,5.467008113861084
fedavg_alpha10.0_c10,18,10.0,10,0.8506934211099738,0.8429124438120315,0.9834405875845242,4.17586612701416
fedavg_alpha10.0_c10,19,10.0,10,0.8987672818897168,0.8917687708382089,0.9860412064265933,4.532239198684692
fedavg_alpha10.0_c10,20,10.0,10,0.9004895041119392,0.8904968453048363,0.9883466941436106,4.389662981033325
