run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time
fedavg_alpha1.0_c10_seed42,fedavg,1,1.0,10,42,0.4332014930750794,0.29427989890003814,0.41706849511918176,4.594007730484009
fedavg_alpha1.0_c10_seed42,fedavg,2,1.0,10,42,0.4879259978724699,0.330641137939241,0.49371202125672237,5.704816818237305
fedavg_alpha1.0_c10_seed42,fedavg,3,1.0,10,42,0.6304768704982748,0.5286470727473501,0.5680211656479679,4.681863069534302
fedavg_alpha1.0_c10_seed42,fedavg,4,1.0,10,42,0.7999379948978923,0.7439662459244584,0.5864302996938148,4.85930323600769
fedavg_alpha1.0_c10_seed42,fedavg,5,1.0,10,42,0.8390815855055778,0.7660647401761335,0.5873254631913933,5.583805799484253
fedavg_alpha1.0_c10_seed42,fedavg,6,1.0,10,42,0.8941594885069527,0.8113880008234606,0.5946091779604997,5.243206024169922
fedavg_alpha1.0_c10_seed42,fedavg,7,1.0,10,42,0.8952099340372774,0.8159735228062731,0.5937213002069509,4.793420791625977
fedavg_alpha1.0_c10_seed42,fedavg,8,1.0,10,42,0.8640688721152191,0.7681198152189439,0.5933752444236335,6.0937159061431885
fedavg_alpha1.0_c10_seed42,fedavg,9,1.0,10,42,0.9091209134271301,0.8433915701206214,0.5945007127772551,6.342350959777832
fedavg_alpha1.0_c10_seed42,fedavg,10,1.0,10,42,0.9007386138157664,0.8212275781867291,0.5950862391063008,6.3701770305633545
fedavg_alpha1.0_c10_seed42,fedavg,11,1.0,10,42,0.8954369628769824,0.8152259628592654,0.5939552772067348,7.117817163467407
fedavg_alpha1.0_c10_seed42,fedavg,12,1.0,10,42,0.9043755694420372,0.8085042893329464,0.5947056129520665,7.152184247970581
fedavg_alpha1.0_c10_seed42,fedavg,13,1.0,10,42,0.917472988554859,0.8361034913707523,0.5956154655730889,8.503018140792847
fedavg_alpha1.0_c10_seed42,fedavg,14,1.0,10,42,0.8820529968967492,0.8143910772171743,0.5938149337344687,7.225767135620117
fedavg_alpha1.0_c10_seed42,fedavg,15,1.0,10,42,0.9160993555081877,0.8366113943478343,0.5952657764282367,6.712189197540283
fedavg_alpha1.0_c10_seed42,fedavg,16,1.0,10,42,0.9042129793360975,0.789932315058974,0.596093047835504,6.396560192108154
fedavg_alpha1.0_c10_seed42,fedavg,17,1.0,10,42,0.900284595024101,0.8164948717625808,0.5945030802135454,10.416221857070923
fedavg_alpha1.0_c10_seed42,fedavg,18,1.0,10,42,0.9261562457333984,0.8463777650251341,0.5956867122559478,7.981858015060425
