run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time
fedavg_alpha0.1_c5_seed42,fedavg,1,0.1,5,42,0.411764705882353,0.271168779451782,0.0,3.4188809394836426
fedavg_alpha0.1_c5_seed42,fedavg,2,0.1,5,42,0.49935116566311555,0.4557542448302715,0.0,3.32804012298584
fedavg_alpha0.1_c5_seed42,fedavg,3,0.1,5,42,0.5461754413051308,0.5153543884360279,0.0,3.2996151447296143
fedavg_alpha0.1_c5_seed42,fedavg,4,0.1,5,42,0.5138605836035202,0.40335407647907645,0.0,3.1528661251068115
fedavg_alpha0.1_c5_seed42,fedavg,5,0.1,5,42,0.5510545995099029,0.4413827367406669,0.0,3.0888969898223877
fedavg_alpha0.1_c5_seed42,fedavg,6,0.1,5,42,0.5391652514023983,0.5027552613105002,0.0,3.0474307537078857
fedavg_alpha0.1_c5_seed42,fedavg,7,0.1,5,42,0.5776954351294323,0.5622538952679931,0.0,3.30600905418396
fedavg_alpha0.1_c5_seed42,fedavg,8,0.1,5,42,0.5881387988266173,0.5654789765928689,0.0,3.1810338497161865
fedavg_alpha0.1_c5_seed42,fedavg,9,0.1,5,42,0.5127679995882868,0.47845959646237884,0.0,3.2058627605438232
fedavg_alpha0.1_c5_seed42,fedavg,10,0.1,5,42,0.5360156451031857,0.5020830877764629,0.0,3.0014848709106445
fedavg_alpha0.1_c5_seed42,fedavg,11,0.1,5,42,0.556855540116309,0.5125536104403817,0.0,3.0851669311523438
fedavg_alpha0.1_c5_seed42,fedavg,12,0.1,5,42,0.5127149915084144,0.46414585414585413,0.0,3.060314178466797
fedavg_alpha0.1_c5_seed42,fedavg,13,0.1,5,42,0.6027713447583758,0.5309274884042685,0.0,2.999570846557617
fedavg_alpha0.1_c5_seed42,fedavg,14,0.1,5,42,0.48039331480623754,0.4275118435873845,0.0,3.1541290283203125
fedavg_alpha0.1_c5_seed42,fedavg,15,0.1,5,42,0.5846990633523751,0.5452111911958459,0.0,3.0108511447906494
fedavg_alpha0.1_c5_seed42,fedavg,16,0.1,5,42,0.5997510421491431,0.5626033654586242,0.0,2.987612009048462
fedavg_alpha0.1_c5_seed42,fedavg,17,0.1,5,42,0.5491492975142813,0.5102014297006564,0.0,3.005770683288574
fedavg_alpha0.1_c5_seed42,fedavg,18,0.1,5,42,0.37753743027596665,0.3946583383884244,0.0,3.0334041118621826
fedavg_alpha0.1_c5_seed42,fedavg,19,0.1,5,42,0.5711924937550228,0.44868212839227334,0.0,3.0925240516662598
fedavg_alpha0.1_c5_seed42,fedavg,20,0.1,5,42,0.5716638361381298,0.5046757638877553,0.0,3.2589268684387207
fedavg_alpha0.1_c5_seed42,fedavg,21,0.1,5,42,0.5998557717050075,0.45837964642433915,0.0,3.595705986022949
fedavg_alpha0.1_c5_seed42,fedavg,22,0.1,5,42,0.56980612858913,0.39623042363407474,0.0,5.114511728286743
fedavg_alpha0.1_c5_seed42,fedavg,23,0.1,5,42,0.4032506937764001,0.34064695806584727,0.0,3.4243688583374023
fedavg_alpha0.1_c5_seed42,fedavg,24,0.1,5,42,0.560036302023333,0.39227990122585193,0.0,3.4362781047821045
fedavg_alpha0.1_c5_seed42,fedavg,25,0.1,5,42,0.5057723483094025,0.42401811366186004,0.0,3.257800817489624
fedavg_alpha0.1_c5_seed42,fedavg,26,0.1,5,42,0.42202540151938017,0.34513532411479353,0.0,3.2368500232696533
fedavg_alpha0.1_c5_seed42,fedavg,27,0.1,5,42,0.6181798612843078,0.3760672167157695,0.0,3.181548833847046
fedavg_alpha0.1_c5_seed42,fedavg,28,0.1,5,42,0.5616717734943766,0.4336565103511421,0.0,3.5662341117858887
fedavg_alpha0.1_c5_seed42,fedavg,29,0.1,5,42,0.5459996912150686,0.46748316593363315,0.0,3.610062837600708
fedavg_alpha0.1_c5_seed42,fedavg,30,0.1,5,42,0.40772074163806443,0.3516947273807142,0.0,3.193371057510376
fedavg_alpha0.1_c5_seed42,fedavg,31,0.1,5,42,0.5293736812310226,0.4798417171345621,0.0,3.385936975479126
fedavg_alpha0.1_c5_seed42,fedavg,32,0.1,5,42,0.5957782073055348,0.47603632191115997,0.0,3.072340965270996
fedavg_alpha0.1_c5_seed42,fedavg,33,0.1,5,42,0.48965763470742624,0.3814525490099392,0.0,3.0593559741973877
fedavg_alpha0.1_c5_seed42,fedavg,34,0.1,5,42,0.4594900199126693,0.4471663987724909,0.0,3.4266769886016846
fedavg_alpha0.1_c5_seed42,fedavg,35,0.1,5,42,0.5107539696678186,0.3953070695477204,0.0,3.335282802581787
fedavg_alpha0.1_c5_seed42,fedavg,36,0.1,5,42,0.5665523568603699,0.4444876547068134,0.0,3.4618778228759766
fedavg_alpha0.1_c5_seed42,fedavg,37,0.1,5,42,0.36637762615645897,0.4080597688053782,0.0,3.2792489528656006
fedavg_alpha0.1_c5_seed42,fedavg,38,0.1,5,42,0.45338038344754417,0.4675477606090134,0.0,3.1960549354553223
fedavg_alpha0.1_c5_seed42,fedavg,39,0.1,5,42,0.33423125418146266,0.36081542984019765,0.0,3.257147789001465
fedavg_alpha0.1_c5_seed42,fedavg,40,0.1,5,42,0.4039770806364137,0.3382139636984548,0.0,3.4153079986572266
fedavg_alpha0.1_c5_seed42,fedavg,41,0.1,5,42,0.3795269553409896,0.38721330819257044,0.0,3.117353916168213
fedavg_alpha0.1_c5_seed42,fedavg,42,0.1,5,42,0.5730992110149127,0.39723404179003474,0.0,3.038449764251709
fedavg_alpha0.1_c5_seed42,fedavg,43,0.1,5,42,0.46877854776071554,0.449174535395983,0.0,3.0136449337005615
fedavg_alpha0.1_c5_seed42,fedavg,44,0.1,5,42,0.3047222618100339,0.24001536743790974,0.0,3.15231990814209
fedavg_alpha0.1_c5_seed42,fedavg,45,0.1,5,42,0.588492812832785,0.4469609122554134,0.0,4.550232887268066
fedavg_alpha0.1_c5_seed42,fedavg,46,0.1,5,42,0.5681283971290918,0.4608563466440108,0.0,3.5061168670654297
fedavg_alpha0.1_c5_seed42,fedavg,47,0.1,5,42,0.5074527816375893,0.3992284277776266,0.0,3.1497080326080322
fedavg_alpha0.1_c5_seed42,fedavg,48,0.1,5,42,0.6796570606841565,0.5403765747541585,0.0,3.058506965637207
fedavg_alpha0.1_c5_seed42,fedavg,49,0.1,5,42,0.4205595836153965,0.2981901564504883,0.0,3.0717248916625977
fedavg_alpha0.1_c5_seed42,fedavg,50,0.1,5,42,0.617292332236751,0.4347089073178118,0.0,2.990417003631592
